# zero shifted mathieu eigen value precision_digits=64 n=1
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,2.3283064364709336532801838206114625380370684484822048137539159393e-10,-2.3283064366064589248408718748624324029358769920819105626188440808e-10,-6.7762635780344027125484932449404271799852874432464070753895204152e-21,8.4703294725430033906816306405436767175354247317302559834512370893e-22,0
1.08420217248550443400745280086994171142578125e-19,3.2927225397780709617906844849221756154742194897801030615011087728e-10,-3.2927225400491215049120605934241918748519682363224796856839164249e-10,-1.3552527156068805425100812968887437327118831209140382607817864880e-20,1.6940658945086006781360072548581867629113794644951109530358479265e-21,0
2.1684043449710088680149056017398834228515625e-19,4.6566128728063420349878466733934104453538186977145094949865572679e-10,-4.6566128733484431212305988903977490824298428281711168965025485655e-10,-2.7105054312137610850216931853801206522830370075799564881349727214e-20,3.3881317890172013562707390167141792034398936511545122893862168887e-21,0
4.336808689942017736029811203479766845703125e-19,6.5854450792850913804265243276117324685942603298667157622221082234e-10,-6.5854450803692935529120287616216342160284151402672963565641589260e-10,-5.4210108624275221700495087371707740520029029717102535126025081533e-20,6.7762635780344027125363760614195811173479793875105969754874763215e-21,0
8.67361737988403547205962240695953369140625e-19,9.3132257450705829836382778211522874171378462161306507622724155325e-10,-9.3132257472389873286092866891769888051345820348808685458653024387e-10,-1.0842021724855044340123506939983679093751088917964434530911020532e-19,1.3552527156068805425052344234804053076565952688182770445490892305e-20,0
1.73472347597680709441192448139190673828125e-18,1.3170890157485980588099795951361396326258603019427191992959762234e-9,-1.3170890161822789278041813687430390674765779448720601377128782628e-9,-2.1684043449710088680344971742535882146467046920845101967652781929e-19,2.7105054312137610850023056917467669520589685607854142130293335518e-20,0
3.4694469519536141888238489627838134765625e-18,1.8626451487972761621548240305208927395605303694003861284624068492e-9,-1.8626451496646379001432275777425282382674475719736554819679932217e-9,-4.3368086899420177361081774935345860128663467675279318622693469253e-19,5.4210108624275221699719587626373592510832928772401051307841394772e-20,0
6.938893903907228377647697925567626953125e-18,2.6341780310635152484115588007718913961227800370930447031537655643e-9,-2.6341780327982387243883658952465089095585421090771169158799367744e-9,-8.6736173798840354723730875671788103599203610636308560507636499664e-19,1.0842021724855044339813307041850019889885958081748006752518875790e-19,0
1.387778780781445675529539585113525390625e-17,3.7252902967271905857153993385163733659928598089575114442183673535e-9,-3.7252903001966375376690135275909944569520946201092586847536579569e-9,-1.7347234759768070945373105454796174055758736202676453016870922538e-18,2.1684043449710088679104172150001245329512999909292716845900057730e-19,0
