# zero shifted mathieu eigen value precision_digits=64 n=27
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.9786726880077917648462070421500060820322753715377637397382008267e-17,1.9786726880077917648462070421500060820322753715377637397382008267e-17,2.7142286529599338338082401126886228834461939252918569818082315867e-20,3.9410376340814533786055912424763409697223149463818915084969996799e-19,0
1.08420217248550443400745280086994171142578125e-19,3.9573453760155835297601391305016541834804410538973276226025916846e-17,3.9573453760155835297601391305016541834804410538973276226025916846e-17,5.4284573059198676677093815233218850253503992508879665604973822834e-20,7.8820752681629067589885749901764673001740993815508938396880725020e-19,0
2.1684043449710088680149056017398834228515625e-19,7.9146907520311670597911784458098764446649785576110027886312756939e-17,7.9146907520311670597911784458098764446649785576110027886312756939e-17,1.0856914611839735335790368238422327084588447952827164319110117550e-19,1.5764150536325813525086720001248076046939567330207080957717373601e-18,0
4.336808689942017736029811203479766845703125e-19,1.5829381504062334120665957630846025200470624566720571518500159196e-16,1.5829381504062334120665957630846025200470624566720571518500159196e-16,2.1713829223679470673067157243958882305172324508533019915638078459e-19,3.1528301072651627078611720086076717909632533824490134959769478260e-18,0
8.67361737988403547205962240695953369140625e-19,3.1658763008124668245666318218597139648098172157300812944817952260e-16,3.1658763008124668245666318218597139648098172157300812944817952260e-16,4.3427658447358941352079997556374677157885009817970936824167287051e-19,6.3056602145303254270976560506475699317382063470522562031841669356e-18,0
1.73472347597680709441192448139190673828125e-18,6.3317526016249336508670248264814636305578062152963554705464773948e-16,6.3317526016249336508670248264814636305578062152963554705464773948e-16,8.6855316894717882727942727386577004534400633954682516742750032851e-19,1.2611320429060650899696560235024045450805930354912149978788858257e-17,0
3.4694469519536141888238489627838134765625e-18,1.2663505203249867308669094384011070081471520160276081881664310364e-15,1.2663505203249867308669094384011070081471520160276081881664310364e-15,1.7371063378943576555101638386846461017107709410529604775945556054e-18,2.5222640858121301981398113004963714755591686010580628539709861970e-17,0
6.938893903907228377647697925567626953125e-18,2.5327010406499734645078367692214711577192435993994443905022755619e-15,2.5327010406499734645078367692214711577192435993994443905022755619e-15,3.4742126757887153148255648411817162657328444436206370240086084526e-18,5.0445281716242604690816196149589936964396710484392997306821231613e-17,0
1.387778780781445675529539585113525390625e-17,5.0654020812999469401117451081199709873988572719428396459935754323e-15,5.0654020812999469401117451081199709873988572719428396459935754323e-15,6.9484253515774306448720783376131289264730552427199446447099800168e-18,1.0089056343248521229371227285783000003999907290336755566259258115e-16,0
