# zero shifted mathieu eigen value precision_digits=64 n=5
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,7.0586078937858361590658016130752734758560542297432313376313745058e-19,7.0586078937858361590658016121689811886340369344600935445026273336e-19,2.8234431575143344636263206450488509328980182328406649764268003679e-20,1.0293803178437677732800653653369052880357534199711358807926970028e-19,0
1.08420217248550443400745280086994171142578125e-19,1.4117215787571672318457831441724524982981886816926888527761219392e-18,1.4117215787571672318457831436597761606727849500983968523528934552e-18,5.6468863150286689273831325756644573179419472635821714102580307887e-20,2.0587606356875355467736442721957136055518862663050204998185627946e-19,0
2.1684043449710088680149056017398834228515625e-19,2.8234431575143344638220575748490517707108396156514135559191615772e-18,2.8234431575143344638220575719489164516003842716409752828799278463e-18,1.1293772630057337855288230293595936444622447774584777677598178847e-19,4.1175212713750710944013427104790393293946532793703561461938260668e-19,0
4.336808689942017736029811203479766845703125e-19,5.6468863150286689281660802972678114333660569467893400169317884275e-18,5.6468863150286689281660802808621686293531375459045834858041612733e-18,2.2587545260114675712664321156259960125438388985387847005471899402e-19,8.2350425427501421922189020853085271349077338762565344332632626539e-19,0
8.67361737988403547205962240695953369140625e-19,1.1293772630057337858420021193600232407158534268833761416204498921e-17,1.1293772630057337858420021100795902195623963375136877795461943747e-17,4.5175090520229351433680084588792269205564995287941278423332885337e-19,1.6470085085500284398102670828018848197928411666372849957725132825e-18,0
1.73472347597680709441192448139190673828125e-18,2.2587545260114675725191484833158768441505911871391565012908960401e-17,2.2587545260114675725191484308178198713092492340050553766032486139e-17,9.0350181040458702900765938282673934309196808422884237557882893080e-19,3.2940170171000568850864808285644872297422476138556765949905164157e-18,0
3.4694469519536141888238489627838134765625e-18,4.5175090520229351483788739731295646595846246177495594373995528849e-17,4.5175090520229351483788736761557079826739992252749381423888063404e-17,1.8070036208091740593515495298570545284517247686048995159576718451e-18,6.5880340342001137920367483089718449714018580703333352564371989098e-18,0
6.938893903907228377647697925567626953125e-18,9.0350181040458703101200561312899427573002905193695520116275123670e-17,9.0350181040458703101200544513521196263773646203096472114800080668e-17,3.6140072416183481240480221165284124767355310279358398446215040868e-18,1.3176068068400227671528643225315173200801981273535081071226026326e-17,0
1.387778780781445675529539585113525390625e-17,1.8070036208091740673689345902366804427786924218531239000894490871e-16,1.8070036208091740673689336399203390766647099480835362855325677649e-16,7.2280144832366962694757364603140390388868047398733203712440337040e-18,2.6352136136800455692877872880116289116227533177588255854207252818e-17,0
2.77555756156289135105907917022705078125e-17,3.6140072416183481561175631453147514265105536867486774076358053911e-16,3.6140072416183481561175577695137174075574033055180212773362010854e-16,1.4456028966473392624470241829656937668135913984533397369944012953e-17,5.2704272273600912785038091478176426551993429669613988592352357034e-17,0
5.5511151231257827021181583404541015625e-17,7.2280144832366963977539050289187967796514465573799088578434492803e-16,7.2280144832366963977538746187958730640064115118507729651460034217e-16,2.8912057932946785591015559295429339687315716138461363645978905404e-17,1.0540854454720183116720556582812886607049295893605054437783351125e-16,0
1.1102230246251565404236316680908203125e-16,1.4456028966473393137582941296646730477127892910128287677963239691e-15,1.4456028966473393137582769271013641870654280168160312970484613327e-15,5.7824115865893572550331421135320744695564346156577201296895706035e-17,2.1081708909440368472292866314336674151383148697440212857985711435e-16,0
2.220446049250313080847263336181640625e-16,2.8912057932946787643466499674089632952396506724694345059131661119e-15,2.8912057932946787643465526550156074052063112000263471453438130611e-15,1.1564823173178715057386405244849141400891923744991563302513958346e-16,4.2163417818880745899992745223520918057361461611696648555236610697e-16,0
4.44089209850062616169452667236328125e-16,5.7824115865893580760135988812228375992204981701194926969500772525e-15,5.7824115865893580760130483991969540588530904507086483500733990405e-15,2.3129646346357432304053294560839583316147177241656282094046952586e-16,8.4326835637761527621613540826463843176759072760019684836234713086e-16,0
8.8817841970012523233890533447265625e-16,1.1564823173178718341308688349857447745495122247334564315578257052e-14,1.1564823173178718341305574353270059268367161305174648320045457380e-14,4.6259292692714873365228525406255014027724567105018425271247428864e-16,1.6865367127552319852973928317086953895090668601655754899691778981e-15,0
1.7763568394002504646778106689453125e-15,2.3129646346357445439745006700138781708843011559123609484159599051e-14,2.3129646346357445439727391275310508461649555563470955223607483266e-14,9.2518585385429781758944795950898580340985134245189129415534164634e-16,3.3730734255104697020552737241553708308531908874121936221146272414e-15,0
3.552713678800500929355621337890625e-15,4.6259292692714925908009967059406383245616504576646552000691515325e-14,4.6259292692714925907910319168609952481701232957945845512724419161e-14,1.8503717077085970363184057245603267145463547506918479502683186897e-15,6.7461468510209623299524996914251094525627373684199646942580571265e-15,0
7.10542735760100185871124267578125e-15,9.2518585385429991930153113580866818864050867494863600615803752770e-14,9.2518585385429991929589419986362080657999926897257904647511376081e-14,3.7007434154171996771948506713445779904410158878424301052663025770e-15,1.3492293702042016363272808356607270736679953273535624281691782481e-14,0
1.42108547152020037174224853515625e-14,1.8503717077086054431714082205326504170037942095210355763489853437e-13,1.8503717077086054431395208954777932179006398104701867673041750875e-13,7.4014868308344217726218582320208872698088680399824446873063208623e-15,2.6984587404084399540016852618639394144610922154635189517809498647e-14,0
2.8421709430404007434844970703125e-14,3.7007434154172333046332769813349954732173683363743772707283459537e-13,3.7007434154172333044528950310934865485798209621407517091168385397e-13,1.4802973661668933218172344024856964043594378597030257959690368987e-14,5.3969174808170266333918648942151361734501153022160722749599549044e-14,0
5.684341886080801486968994140625e-14,7.4014868308345562825249967810978741055816627570720575740301322123e-13,7.4014868308345562815046023793425263390464844109798519496764439794e-13,2.9605947323338225128059198320880800889256294336103819047413152384e-14,1.0793834961634640168337707336917831933248846469912403769821595199e-13,0
1.136868377216160297393798828125e-13,1.4802973661669471258630220691283178330124494535801551240481453216e-12,1.4802973661669471252857998283555827307963441537768739670027886092e-12,5.9211894646677885022976437949678011276175872147140581821018678616e-14,2.1587669923271627942891325400094143878054421111802004788024763188e-13,0
2.27373675443232059478759765625e-13,2.9605947323340377294672571157333529274513141043236811087553611766e-12,2.9605947323340377262019950301172974155405024212845663789277819399e-12,1.1842378929336150911338504291701300685983633051216494975366286233e-13,4.3175339846552646310646297963688141135907883271368630794670250933e-13,0
4.5474735088646411895751953125e-13,5.9211894646686493716480250571723984492998365415666394911076547396e-12,5.9211894646686493531769133524568376262623931317348214211351853018e-12,2.3684757858674597449649876819258472151124459346602921824485680083e-13,8.6350679693142854320747218649103162527973128483005284378430301619e-13,0
9.094947017729282379150390625e-13,1.1842378929339594404042002872860479344299336583361341304952365938e-11,1.1842378929339594299553616133282042611378519499223982854816815843e-11,4.7369515717358377407191238012285043911355712165170648319538363562e-13,1.7270135938643595543931320072693358107041202064202397994830511907e-12,0
