# zero shifted mathieu eigen value precision_digits=64 n=21
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.1980495608360987945104322481573645343954162975520492838202825006e-17,1.1980495608360987945104322481573645343954162975520492838202825006e-17,2.7166656708301559966222953472956111891052523754014722989122052169e-20,3.1312658976398036679987656367511307879824394698906350820334980108e-19,0
1.08420217248550443400745280086994171142578125e-19,2.3960991216721975890621445816523316150881457137266188880149592910e-17,2.3960991216721975890621445816523316150881457137266188880149592910e-17,5.4333313416603119933381963302773959525808292828268001995804065555e-20,6.2625317952796073371620578364961242866540726138688548892800528665e-19,0
2.1684043449710088680149056017398834228515625e-19,4.7921982433443951782894095046550734153906109031390768466650947015e-17,4.7921982433443951782894095046550734153906109031390768466650947015e-17,1.0866662683320623987050815203299486202699797966301761557063706806e-19,1.2525063590559214678982221924967699418124697964239598237453388648e-18,0
4.336808689942017736029811203479766845703125e-19,9.5843964866887903572393003747117875718390357185875722890745926076e-17,9.5843964866887903572393003747117875718390357185875722890745926076e-17,2.1733325366641247975599320577577749596006883715618077753003611355e-19,2.5050127181118429376596868857837202231993831195699146789956996782e-18,0
8.67361737988403547205962240695953369140625e-19,1.9168792973377580717120526211030138109513615162941317468402900509e-16,1.9168792973377580717120526211030138109513615162941317468402900509e-16,4.3466650733282495957189401839070607958080760006669654123362586187e-19,5.0100254362236858827723437747281618178791198029977266918309870722e-18,0
1.73472347597680709441192448139190673828125e-18,3.8337585946755161444808754268486528095203709841175314582373684557e-16,3.8337585946755161444808754268486528095203709841175314582373684557e-16,8.6933301466564991938341846413801651009532221862075543270688627113e-19,1.0020050872447371795356567562099209227140289517186380769381598986e-17,0
3.4694469519536141888238489627838134765625e-18,7.6675171893510322931888315922678063797787774641345252844950323342e-16,7.6675171893510322931888315922678063797787774641345252844950323342e-16,1.7386660293312998397253586377024504262536910349511395202936581257e-18,2.0040101744894743709960655174769961663493863925211181689416282831e-17,0
6.938893903907228377647697925567626953125e-18,1.5335034378702064603285986138817615884649246430126024793827968226e-15,1.5335034378702064603285986138817615884649246430126024793827968226e-15,3.4773320586625996832848041131105704953853166508222278444054349718e-18,4.0080203489789487896911390551826102913321549382373828121791887791e-17,0
1.387778780781445675529539585113525390625e-17,3.0670068757404129274205264094763244926781655013752955299646698598e-15,3.0670068757404129274205264094763244926781655013752955299646698598e-15,6.9546641173251993819059555770438197112883571459757268253167117002e-18,8.0160406979578977701783101912796978167823840641337376788601705277e-17,0
2.77555756156289135105907917022705078125e-17,6.1340137514808258818943695458038547740427127810093776597735596950e-15,6.1340137514808258818943695458038547740427127810093776597735596950e-15,1.3909328234650398825157300557378355496695493834488384716039817903e-17,1.6032081395915796303540748706217347766713429477932994354919673352e-16,0
5.5511151231257827021181583404541015625e-17,1.2268027502961651872002005999012536908375888009921572478292868745e-14,1.2268027502961651872002005999012536908375888009921572478292868745e-14,2.7818656469300797895696158727919584826249179160819892241026913255e-17,3.2064162791831595659818010707066849639432421146805775262536318836e-16,0
1.1102230246251565404236316680908203125e-16,2.4536055005923304176857079627644416902273108490400199490288466844e-14,2.4536055005923304176857079627644416902273108490400199490288466844e-14,5.5637312938601596772918547908490741274995710862585486372536205996e-17,6.4128325583663203530582074592665080290174425396243010532855423406e-16,0
2.220446049250313080847263336181640625e-16,4.9072110011846610085126429773766475301507408294665621485446127484e-14,4.9072110011846610085126429773766475301507408294665621485446127484e-14,1.1127462587720319747194201762758837936849752447769982196246287411e-16,1.2825665116732645590494836189947780132388585792440044004556523083e-15,0
4.44089209850062616169452667236328125e-16,9.8144220023693227095901941621445669829866473299019642835641976661e-14,9.8144220023693227095901941621445669829866473299019642835641976661e-14,2.2254925175440641064830372249760922863915300067804907672481173846e-16,2.5651330233465310718503357465572309920830914231412828476455910006e-15,0
8.8817841970012523233890533447265625e-16,1.9628844004738648189440021153855944247919470508871656204937420464e-13,1.9628844004738648189440021153855944247919470508871656204937420464e-13,4.4509850350881288411428619396498739791200613398801941507794604226e-16,5.1302660466930699587061455273993165334988317665590157288252944636e-15,0
1.7763568394002504646778106689453125e-15,3.9257688009477307459918573625992910353267749764518921547436580734e-13,3.9257688009477307459918573625992910353267749764518921547436580734e-13,8.9019700701762601949928738380936304655935940509113200787838051551e-16,1.0260532093386171177434187192051288759617474533927071104981664261e-14,0
3.552713678800500929355621337890625e-15,7.8515376018954659243991272525220153973403577783629981152568549046e-13,7.8515376018954659243991272525220153973403577783629981152568549046e-13,1.7803940140352530440814347511387790016644802218510199807838673253e-15,2.0521064186772467394955958934019100252027922451058756751599042908e-14,0
7.10542735760100185871124267578125e-15,1.5703075203790949578459904614425960771150222214077993166508075723e-12,1.5703075203790949578459904614425960771150222214077993166508075723e-12,3.5607880280705101084943094363777688823469891641900211261923074201e-15,4.1042128373545434950262256074951491133737682632164256837972169548e-14,0
1.42108547152020037174224853515625e-14,3.1406150407581970075566409667085214805956685766059195891904093381e-12,3.1406150407581970075566409667085214805956685766059195891904093381e-12,7.1215760561410362983143786093163752394459604911698856897741708346e-15,8.2084256747092870541925865035533742374284016282031969210149232335e-14,0
2.8421709430404007434844970703125e-14,6.2812300815164223825719221092748189528764244381678414332298041139e-12,6.2812300815164223825719221092748189528764244381678414332298041139e-12,1.4243152112282136921931796166156052047338830925550660846326086426e-14,1.6416851349419374364945714207741130588048098173005283341556649198e-13,0
5.684341886080801486968994140625e-14,1.2562460163032958234978404926496411362274227742494095032809958312e-11,1.2562460163032958234978404926496411362274227742494095032809958312e-11,2.8486304224564531145075748132644923723977840685927653135623488236e-14,3.2833702698841949756133593589076414192648762992615332914315275724e-13,0
1.136868377216160297393798828125e-13,2.5124920326066370349295052720905272468887068407923555908547525451e-11,2.5124920326066370349295052720905272468887068407923555908547525451e-11,5.6972608449130091495000119548538032809267728816153188001241554312e-14,6.5667405397696703617235850840982436962522262878429970806229354104e-13,0
