# zero shifted mathieu eigen value precision_digits=64 n=11
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,3.3070425015333896705394059965439264492333310876745161317967460135e-18,3.3070425015333896705394059965439264492333310876745161317967460135e-18,2.7330929764738757607763685921850631811845711468384430841295421599e-20,1.7913146883305860717308464249914355176181347698083594567473969027e-19,0
1.08420217248550443400745280086994171142578125e-19,6.6140850030667793411979921288686988815362680450822945669367384966e-18,6.6140850030667793411979921288686988815362680450822945669367384966e-18,5.4661859529477515216512331643542965963109653265142930305262301625e-20,3.5826293766611721439035851105911133247251017944908563233111055871e-19,0
2.1684043449710088680149056017398834228515625e-19,1.3228170006133558682872704800860781695430779938528018585772423820e-17,1.3228170006133558682872704800860781695430779938528018585772423820e-17,1.0932371905895503043696450248645274128455190031841337674192085802e-19,7.1652587533223442895747392636151958080045779267154815974260904999e-19,0
4.336808689942017736029811203479766845703125e-19,2.6456340012267117367652291774215099120933098225952796887732402620e-17,2.6456340012267117367652291774215099120933098225952796887732402620e-17,2.1864743811791006088968836177037272000771155558638675113828431918e-19,1.4330517506644688586219754696962268255019015750263793494243429994e-18,0
8.67361737988403547205962240695953369140625e-19,5.2912680024534234742932112238404341167260853491036967915094447948e-17,5.2912680024534234742932112238404341167260853491036967915094447948e-17,4.3729487623582012184241415073061438981207316934741295797598717312e-19,2.8661035013289377200720614072852043104416371455040944217324495127e-18,0
1.73472347597680709441192448139190673828125e-18,1.0582536004906846951637433923670525407696836428695411468606735143e-16,1.0582536004906846951637433923670525407696836428695411468606735143e-16,8.7458975247164024393697801022070457914849887840457946021543265643e-19,5.7322070026578754514565646861414112893057305665591606590049214082e-18,0
3.4694469519536141888238489627838134765625e-18,2.1165072009813693915478913751299679545066759098026640474771964124e-16,2.1165072009813693915478913751299679545066759098026640474771964124e-16,1.7491795049432804888825548554793123590964263717377388822125590185e-18,1.1464414005315750948162896858566833497670248585287241555999390962e-17,0
6.938893903907228377647697925567626953125e-18,4.2330144019627387879774011118433874270381249708066521578542058424e-16,4.2330144019627387879774011118433874270381249708066521578542058424e-16,3.4983590098865609817995050511102375430067148519063240974001701177e-18,2.2928828010631502077324863662269712634527345778970453211228035333e-17,0
1.387778780781445675529539585113525390625e-17,8.4660288039254775954812756700205811354196517859945809776906065248e-16,8.4660288039254775954812756700205811354196517859945809776906065248e-16,6.9967180197731219797365914628269265581980593272682487418930632437e-18,4.5857656021263004878646007105083623529415676389287505447707841591e-17,0
