# zero shifted mathieu eigen value precision_digits=64 n=39
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,4.1253910495346017489429838759351988717954909593590837374702256348e-17,4.1253910495346017489429838759351988717954909593590837374702256348e-17,2.7122886584711385594628427849672576408911840626949925953124428894e-20,5.5638497707539036761672300179103150929331127245111377887063523888e-19,0
1.08420217248550443400745280086994171142578125e-19,8.2507820990692034980264236119731677805426213322409372941857774299e-17,8.2507820990692034980264236119731677805426213322409372941857774299e-17,5.4245773169422771190180299881480393034468253334917404958486373635e-20,1.1127699541507807355735828375507288795204927465054506867799103716e-18,0
2.1684043449710088680149056017398834228515625e-19,1.6501564198138406996614670664357415708974905829135765299626534221e-16,1.6501564198138406996614670664357415708974905829135765299626534221e-16,1.0849154633884554238405437649150174693606118230858491321253474175e-19,2.2255399083015614725077130109761212036911548126927380158899202202e-18,0
4.336808689942017736029811203479766845703125e-19,3.3003128396276813995476635090359152010173308401389584918789602041e-16,3.3003128396276813995476635090359152010173308401389584918789602041e-16,2.1698309267769108478288385989716733734499216568960936830236424747e-19,4.4510798166031229504576153654508961933004950102643756199775450559e-18,0
8.67361737988403547205962240695953369140625e-19,6.6006256792553627999942445227295586394559356451271318917093762103e-16,6.6006256792553627999942445227295586394559356451271318917093762103e-16,4.3396618535538216962486814745099004861643232380848993370870323539e-19,8.9021596332062459226839881048964075888137964092567738953321621949e-18,0
1.73472347597680709441192448139190673828125e-18,1.3201251358510725603584159064090030232851969290467068864696105547e-15,1.3201251358510725603584159064090030232851969290467068864696105547e-15,8.6793237071076433948613800552860159321840692245016889314241325095e-19,1.7804319266412491932443005705771276454799337167125035257947440997e-17,0
3.4694469519536141888238489627838134765625e-18,2.6402502717021451221550998202703712315504347708312921784302519196e-15,2.6402502717021451221550998202703712315504347708312921784302519196e-15,1.7358647414215286799178828535636891726169853851619277964695936355e-18,3.5608638532824984213186129395456401764849802078291233952582763570e-17,0
6.938893903907228377647697925567626953125e-18,5.2805005434042902500632716703502032302530468938361491771111935744e-15,5.2805005434042902500632716703502032302530468938361491771111935744e-15,3.4717294828430573636181930771533223078586764588008870329462153678e-18,7.1217277065649969819572730726568228923217317929509451014068997672e-17,0
1.387778780781445675529539585113525390625e-17,1.0561001086808580523138831459938249746970912806142970652651278296e-14,1.0561001086808580523138831459938249746970912806142970652651278296e-14,6.9434589656861147423660956344104206094483318909552732759048509505e-18,1.4243455413129994521194734919575839920061111332483540250830540054e-16,0
2.77555756156289135105907917022705078125e-17,2.1122002173617161138326815396827874382649978564379989536564782886e-14,2.1122002173617161138326815396827874382649978564379989536564782886e-14,1.3886917931372229545251029189235946339677829430887567085183946670e-17,2.8486910826259991271510224936200648205877311550596428165111611343e-16,0
5.5511151231257827021181583404541015625e-17,4.2244004347234322644850240701461262262923583962827922668753429514e-14,4.2244004347234322644850240701461262262923583962827922668753429514e-14,2.7773835862744459332577410060132322329338319502187983345663004283e-17,5.6973821652519991459503470260598704467450961838386515326945912321e-16,0
1.1102230246251565404236316680908203125e-16,8.4488008694468646762486921034144690058669795467475679007828621101e-14,8.4488008694468646762486921034144690058669795467475679007828621101e-14,5.5547671725488919633456226846906436593471265922074739650117436621e-17,1.1394764330504001858493902207399931789909514418702643053377928472e-15,0
2.220446049250313080847263336181640625e-16,1.6897601738893729941611960059317893458725506274684002977118096453e-13,1.6897601738893729941611960059317893458725506274684002977118096453e-13,1.1109534345097784314011808060038062760503291436347141996790332974e-16,2.2789528661008017983360637035930448558622609497199444612519700681e-15,0
4.44089209850062616169452667236328125e-16,3.3795203477787462239682223528592322576317170590170724750436968869e-13,3.3795203477787462239682223528592322576317170590170724750436968869e-13,2.2219068690195570177305866882703696631372235759481081361234036074e-16,4.5579057322016093032212604556461808177469881383274510709149759709e-15,0
