# zero shifted mathieu eigen value precision_digits=64 n=22
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.3146007459511611112692489961129024085989902113940485087859334893e-17,1.3146007459511611112692489961129024085989902113940485087859334893e-17,2.7161172437007460976637375952745917533036987838720010512106063829e-20,3.2660888098165493453408469589273669465750833721072681440377066798e-19,0
1.08420217248550443400745280086994171142578125e-19,2.6292014919023222225837261778202528481504425047387816748113800044e-17,2.6292014919023222225837261778202528481504425047387816748113800044e-17,5.4322344874014921954209218550005224135339721172288877578747520751e-20,6.5321776196330986919391150242029912991033459286403294026936236050e-19,0
2.1684043449710088680149056017398834228515625e-19,5.2584029838046444453483650980182978201381085407030327855387731572e-17,5.2584029838046444453483650980182978201381085407030327855387731572e-17,1.0864468974802984391215630367806400454830802770047588399873498259e-19,1.3064355239266197388907914473799012224304527331772378358363930074e-18,0
4.336808689942017736029811203479766845703125e-19,1.0516805967609288891420381165547764135844112833689789770517082657e-16,1.0516805967609288891420381165547764135844112833689789770517082657e-16,2.1728937949605968783926407366834223421165522383656590434952650118e-19,2.6128710478532394797934566649170142971281346455820011701807674489e-18,0
8.67361737988403547205962240695953369140625e-19,2.1033611935218577785735366209140202255711821695569247986784906820e-16,2.1033611935218577785735366209140202255711821695569247986784906820e-16,4.3457875899211937573833401258554136891966573751176132204101047149e-19,5.2257420957064789676344084104628760179499459235208057803596834684e-18,0
1.73472347597680709441192448139190673828125e-18,4.2067223870437155583049147930459100461534131656335342969133166966e-16,4.2067223870437155583049147930459100461534131656335342969133166966e-16,8.6915751798423875171589148616651034011434156314742444151101584641e-19,1.0451484191412957967458797143441141847672677700042437327285848272e-17,0
3.4694469519536141888238489627838134765625e-18,8.4134447740874311212411957909632984835639049592963460078916737509e-16,8.4134447740874311212411957909632984835639049592963460078916737509e-16,1.7383150359684775043886768163147310916454349089455260346883623452e-18,2.0902968382825916063677515576943843878421133400677080794934388440e-17,0
6.938893903907228377647697925567626953125e-18,1.6826889548174862261007856401412510621859191006314111331423328078e-15,1.6826889548174862261007856401412510621859191006314111331423328078e-15,3.4766300719369550126049290085563038474915683897343205230213487765e-18,4.1805936765651832642394716314133935977022455512434323088184399033e-17,0
1.387778780781445675529539585113525390625e-17,3.3653779096349724596117572080768676580268438968348388923040762469e-15,3.3653779096349724596117572080768676580268438968348388923040762469e-15,6.9532601438739100405201595208199745000554625967661960584794963780e-18,8.3611873531303667344948173269252924737782279538881785170001677161e-17,0
