# zero shifted mathieu eigen value precision_digits=64 n=64
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.1104941413588867373998466059886577927782625822033657704659077739e-16,1.1104941413588867373998466059886577927782625822033657704659077739e-16,2.7111673373019695737300942529019965644000551323324359630515326510e-20,8.9490370365917612578625429110510776960375771840812685164639116812e-19,0
1.08420217248550443400745280086994171142578125e-19,2.2209882827177734748373862713294785459641176378402421167078033534e-16,2.2209882827177734748373862713294785459641176378402421167078033534e-16,5.4223346746039391475522125764879847313577090767584036052436605307e-20,1.7898074073183522524210609974697586338056966036316958177484523634e-18,0
2.1684043449710088680149056017398834228515625e-19,4.4419765654355469498255447800676089335807599393261164965065070871e-16,4.4419765654355469498255447800676089335807599393261164965065070871e-16,1.0844669349207878295472521435711935872999902195620401602799089568e-19,3.5796148146367045082363316559776896494157503551254241360998866237e-18,0
4.336808689942017736029811203479766845703125e-19,8.8839531308710939002541785097698252339488566925274817253585146713e-16,8.8839531308710939002541785097698252339488566925274817253585146713e-16,2.1689338698415756592417428002367737387570450909490922181051061209e-19,7.1592296292734090300495019561080688533419891465010906677642253527e-18,0
8.67361737988403547205962240695953369140625e-19,1.7767906261742187802920712818078079936464965914897715821335114590e-15,1.7767906261742187802920712818078079936464965914897715821335114590e-15,4.3378677396831513190724396528510937344885170690668251516931432103e-19,1.4318459258546818114406358488826896143070410796420050877568218631e-17,0
1.73472347597680709441192448139190673828125e-18,3.5535812523484375615490848830309877758542184143900500677125499425e-15,3.5535812523484375615490848830309877758542184143900500677125499425e-15,8.6757354793663026405006955152123724996440879257569581731263426330e-19,2.8636918517093636446042135284096827778442381673846792634539398831e-17,0
3.4694469519536141888238489627838134765625e-18,7.1071625046968751269579390437234627150279315102093754261443725003e-15,7.1071625046968751269579390437234627150279315102093754261443725003e-15,1.7351470958732605290424655868465485144111160913597107973985284425e-18,5.7273837034187273761001943793965811500137644210402259004453184087e-17,0
6.938893903907228377647697925567626953125e-18,1.4214325009393750269354955198092874155930591792433833996276289363e-14,1.4214325009393750269354955198092874155930591792433833996276289363e-14,3.4702941917465210618542371089093931044752421368246665029971409577e-18,1.1454767406837455099767458049102035856565993618109783113748697481e-16,0
1.387778780781445675529539585113525390625e-17,2.8428650018787500600466218838769543796134099043311865467196591618e-14,2.8428650018787500600466218838769543796134099043311865467196591618e-14,6.9405883834930421387856979586839706533530515242460609050772928755e-18,2.2909534813674911589803193259439655373184345787909124340568469938e-16,0
2.77555756156289135105907917022705078125e-17,5.6857300037575001447957671447874274175551862883471584819483186125e-14,5.6857300037575001447957671447874274175551862883471584819483186125e-14,1.3881176766986084337880290880828680218640591524285054887569137238e-17,4.5819069627349828740679495163822360857766121363239757018090035517e-16,0
5.5511151231257827021181583404541015625e-17,1.1371460007515000388401627797708933185377440865890541382285027881e-13,1.1371460007515000388401627797708933185377440865890541382285027881e-13,2.7762353533972168916996161615500325159612892738990579546594306349e-17,9.1638139254699679725651424907422645930625926522838362326273014351e-16,0
1.1102230246251565404236316680908203125e-16,2.2742920015030001172043629627954209507451973852226350155202389461e-13,2.2742920015030001172043629627954209507451973852226350155202389461e-13,5.5524707067944338798934642646372581805302670537661987683599583645e-17,1.8327627850939944842847258813400277887765830542636036319004541553e-15,0
2.220446049250313080847263336181640625e-16,4.5485840030060003925048755386054029446722867895576036445718763657e-13,4.5485840030060003925048755386054029446722867895576036445718763657e-13,1.1104941413588868145763856295423347032891325169818368272880557533e-16,3.6655255701879925276562412954500182706919615828729285696923963062e-15,0
4.44089209850062616169452667236328125e-16,9.0971680060120014173943495292692403700965830231332491393442367358e-13,9.0971680060120014173943495292692403700965830231332491393442367358e-13,2.2209882827177737835435423655442481372306110896321409031602140468e-16,7.3310511403759992916596407220091930137994041520520066256237969982e-15,0
8.8817841970012523233890533447265625e-16,1.8194336012024005364327092866773741127396734764406631053644254906e-12,1.8194336012024005364327092866773741127396734764406631053644254906e-12,4.4419765654355481846501691569271828924308434483414626595811169204e-16,1.4662102280752055528707913968689457516143125856334855658246377252e-14,0
1.7763568394002504646778106689453125e-15,3.6388672024048020846807760966500703517171991962210415489218053517e-12,3.6388672024048020846807760966500703517171991962210415489218053517e-12,8.8839531308710988395526760172120858196220683501490272190473763470e-16,2.9324204561504338838970358037938765777522685107565122411463106110e-14,0
3.552713678800500929355621337890625e-15,7.2777344048096082166229822864911729792372054533388811385018087402e-12,7.2777344048096082166229822864911729792372054533388811385018087402e-12,1.7767906261742207560114702847878840281340833626315627779545431495e-15,5.8648409123009588804158836493121452864464638561241593271924425937e-14,0
7.10542735760100185871124267578125e-15,1.4555468809619232622291684945824425228496824472466669737953753317e-11,1.4555468809619232622291684945824425228496824472466669737953753317e-11,3.5535812523484454644266808949766663155509825372233080414926155559e-15,1.1729681824602282211319015477525473759439829709922017032775542304e-13,0
1.42108547152020037174224853515625e-14,2.9110937619238530000766251383640768871572795736074240430071119869e-11,2.9110937619238530000766251383640768871572795736074240430071119869e-11,7.1071625046969067384683230917091720877863270840025001049978319992e-15,2.3459363649206022224587023766684597567306694220458431791614122245e-13,0
2.8421709430404007434844970703125e-14,5.8221875238477319026264028740238022077378278066539033147403411272e-11,5.8221875238477319026264028740238022077378278066539033147403411272e-11,1.4214325009393876715396491391659673358734931168588631139502785955e-14,4.6918727298417875656970019548135133746330854700112614180678595077e-13,0
5.684341886080801486968994140625e-14,1.1644375047695567415145416141221246689901864524437233682035688172e-10,1.1644375047695567415145416141221246689901864524437233682035688172e-10,2.8428650018788006384632363626028434301518223936614340044032441826e-14,9.3837454596859076145123933301184729285108792129015058219349374645e-13,0
1.136868377216160297393798828125e-13,2.3288750095391549269861273887065450803377714552564183121072929642e-10,2.3288750095391549269861273887065450803377714552564183121072929642e-10,5.6857300037577024584622250700843385750433873419346150197931957133e-14,1.8767490919381145161498349258883296452866527651887954338544002224e-12,0
2.27373675443232059478759765625e-13,4.6577500190784756298004314448049837908069780748245046115548244087e-10,4.6577500190784756298004314448049837908069780748245046115548244087e-10,1.1371460007515809643067459582043417458024848815489513211803770529e-13,3.7534981838799610052890988245796522358506212980118750722599392005e-12,0
4.5474735088646411895751953125e-13,9.3155000381576143629135697635192273878587617175528132967241886485e-10,9.3155000381576143629135697635192273878587617175528132967241886485e-10,2.2742920015033238190706957430466863739889554974494173087705538693e-13,7.5069963677748499025359450071268979698723169969943758216204535015e-12,0
9.094947017729282379150390625e-13,1.8631000076317881139077968657408976288118660319514143660324910202e-9,1.8631000076317881139077968657408976288118660319514143660324910202e-9,4.5485840030072951999702071917502383515914698045688827295715112799e-13,1.5013992735609411372903131180169144653668169650138248748301645031e-11,0
1.818989403545856475830078125e-12,3.7262000152646371931159266914167896951927510319658595386644000820e-9,3.7262000152646371931159266914167896951927510319658595386644000820e-9,9.0971680060171806472556803989667717167791773241353992643173830127e-13,3.0027985471457669017133240896359497688860344995878145446987429887e-11,0
3.63797880709171295166015625e-12,7.4524000305335182474331956848678438442666120358443540608434129516e-9,7.4524000305335182474331956848678438442666120358443540608434129516e-9,1.8194336012044722283772450402509384385416533290635630031355988651e-12,6.0055970943870723119590506915682589205110959374711203062179299705e-11,0
7.2759576141834259033203125e-12,1.4904800061084011939671844276227039816682262928000816892417107582e-8,1.4904800061084011939671844276227039816682262928000816892417107582e-8,3.6388672024130888524589463565007421427446930976564494366252704057e-12,1.2011194189156298658060600215425366964462255637827810802092154577e-10,0
1.4551915228366851806640625e-11,2.9809600122235925658566169765253853587506692001739210810840398507e-8,2.9809600122235925658566169765253853587506692001739210810840398507e-8,7.2777344048427552877358812903451790985123759769871120143653316668e-12,2.4022388379841213452794306024839876785733721344569258205051181410e-10,0
2.910383045673370361328125e-11,5.9619200244743458434027621076381901572737645222511158385837054513e-8,5.9619200244743458434027621076381901572737645222511158385837054513e-8,1.4555468809751820906745024676851050188656651665652138277792249637e-11,4.8044776765796891453105916544409553873944586827751865519037083709e-10,0
5.82076609134674072265625e-11,1.1923840049057334533567922189366417016621751702128406547701372766e-7,1.1923840049057334533567922189366417016621751702128406547701372766e-7,2.9110937619768883138593560032632854044486698491524430048099054604e-11,9.6089553556051641102880108019576267493674886716960865599044750534e-10,0
1.16415321826934814453125e-10,2.3847680098549240454219719121020333634377944074861078887744599439e-7,2.3847680098549240454219719121020333634377944074861078887744599439e-7,5.8221875240598731577684861135303548912055527526516305878282713475e-11,1.9217910720993471504522577140331888281281976001895204276234289253e-9,0
2.3283064365386962890625e-10,4.7695360198836766457049199978681187999400554885367174584621357160e-7,4.7695360198836766457049199978681187999400554885367174584621357160e-7,1.1644375048544132435803027338545211913916151095060345357573573525e-10,3.8435821481119516187065340981534947693620930209762364473474446035e-9,0
4.656612873077392578125e-10,9.5390720404626675110731549044995837265507992139039245005741486395e-7,9.5390720404626675110731549044995837265507992139039245005741486395e-7,2.3288750098785809353205944591063436832399412143320128175229855077e-10,7.6871643118769325424083145884903075982896731799927262918090598034e-9,0
9.31322574615478515625e-10,1.9078144083706591902554851158745174213984251018551255826560374910e-6,1.9078144083706591902554851158745174213984251018551255826560374910e-6,4.6577500204361796637096804586780210483359987838259901920313415306e-10,1.5374328686365982575094989523130992338690770438008866713852309039e-8,0
1.86264514923095703125e-9,3.8156288178538211340786121463383666846193290732402826340626491463e-6,3.8156288178538211340786121463383666846193290732402826340626491463e-6,9.3155000435884305031216116853964030386214088702155337745670145174e-10,3.0748657623180437273682435974013387417478890937121238346399468881e-8,0
3.7252902984619140625e-9,7.6312576401576532936615949955507954339966696311599288426732933572e-6,7.6312576401576532936615949955507954339966696311599288426732933572e-6,1.8631000098041145736478503407106434165030931716699045026057845110e-9,6.1497316248154780340367101185244456415245698579523700217433630449e-8,0
7.450580596923828125e-9,1.5262515298115350779211097910560550332919376675076080746296211853e-5,1.5262515298115350779211097910560550332919376675076080746296211853e-5,3.7262000239539430613308344508204468586228946960634962759512235968e-9,1.2299463650348532224500676642539210223697016889143371054260166087e-7,0
1.490116119384765625e-8,3.0525030667430879044937240391920224198934231808565350500389663264e-5,3.0525030667430879044937240391920224198934231808565350500389663264e-5,7.4524000652907419543303809550586484860679276876380250245091951328e-9,2.4598928903567479788528392426416614675444836770584726392923404493e-7,0
2.98023223876953125e-8,6.1050061619662473787642154678937020588878198720684095086423283166e-5,6.1050061619662473787642154678937020588878198720684095086423283166e-5,1.4904800200112908639561072919662358542206591484542015401958809367e-8,4.9197864218617506645822582939248875203038437401109563313172769985e-7,0
5.9604644775390625e-8,1.2210012437852785638001804932482583723425745745497923300543950503e-4,1.2210012437852785638001804932482583723425745745497923300543950503e-4,2.9809600678351527436527844073443807918519887073969539307968629157e-8,9.8395754083172287253786024672859019332580111469778371627655995025e-7,0
1.1920928955078125e-7,2.4420025331386771608832468548027544642607553597465493087145638654e-4,2.4420025331386771608832468548027544642607553597465493087145638654e-4,5.9619202469205985373126143916082872662616097650062238982289156870e-8,1.9679161075015035588182137814582273938653751568957207344880518510e-6,0
2.384185791015625e-7,4.8840052485498639036542108418080019483574983894758656571421126876e-4,4.8840052485498639036542108418080019483574983894758656571421126876e-4,1.1923840938842441171030788188007817256732173802431312639507111054e-7,3.9358363183597732193116064660086162445797224205759419214872447558e-6,0
4.76837158203125e-7,9.7680112261900017250348156020549570658305376270861877212322648126e-4,9.7680112261900017250348156020549570658305376270861877212322648126e-4,2.3847683657690433899010780278454485024000336003628387991289709015e-7,7.8716890501828896933710614852167176317122873438190265795525206641e-6,0
9.5367431640625e-7,1.9536025368742983844397590650182729034301085146722083810829796232e-3,1.9536025368742983844397590650182729034301085146722083810829796232e-3,4.7695374435407675401361305298297678306399133658989462428783682207e-7,1.5743443754509384380602811694202629268420027356723741499908341145e-5,0
1.9073486328125e-6,3.9072062402952967085777068399135136428394893990887002414268154878e-3,3.9072062402952967085777068399135136428394893990887002414268154878e-3,9.5390777350959392299260420896326016670885971657438970737959362494e-7,3.1487150127915063583620513338118430230494110155315605224725611015e-5,0
3.814697265625e-6,7.8144171467894554833500582746380392950577360441715955453076427631e-3,7.8144171467894554833500582746380392950577360441715955453076427631e-3,1.9078166862278944051147603209565525622699550889090809436786237215e-6,6.2975350749990610005508855322083630801492971992384443282377601707e-5,0
7.62939453125e-6,1.5628852958470858517356495904266800058548544033815396032934228971e-2,1.5628852958470858517356495904266800058548544033815396032934228971e-2,3.8156379293141744427139882578776367330440781332557119221030832450e-6,1.2595490362523045626375335511000295421692955487546469474810777716e-4,0
1.52587890625e-5,3.1257780577281514751254349688812958674958883838137161180834111564e-2,3.1257780577281514751254349688812958674958883838137161180834111564e-2,7.6312940862503698123179564669953512390036337495452053664145780185e-6,2.5192661694039432556476192504870573712026563229537098531485171737e-4,0
3.0517578125e-5,6.2515859802098492119592431179664897354653811332301753784154035079e-2,6.2515859802098492119592431179664897354653811332301753784154035079e-2,1.5262661084496702177634870893472875330726028157300232857459481220e-5,5.0392048215326265776853110627337353409781066196105521895779137955e-4,0
6.103515625e-5,1.2503291424375239524585450009566829114631943122060694060322736559e-1,1.2503291424375239524585450009566829114631943122060694060322736559e-1,3.0525613829041112120569946312419016393144392387843491358209806053e-5,1.0081100335183267120214542689594684531695421543573076106487944127e-3,0
1.220703125e-4,2.5007060744108911284354688012401647055063332657995328800630207371e-1,2.5007060744108911284354688012401647055063332657995328800630207371e-1,6.1052394394797146690319062530277458630525714497058908204663592214e-5,2.0172969531789752053141519360489973603844559161623332302795285882e-3,0
2.44140625e-4,5.0016033386028435084040408725551017230589341353875688604518967921e-1,5.0016033386028435084040408725551017230589341353875688604518967921e-1,1.2210945650885848409189552911511478816061850916473556788212638653e-4,4.0389063304110292751912275669459864460748834241402567551263370717e-3,0
4.8828125e-4,1.0003971689570321976600477953790695787697676302362741554994306087e0,1.0003971689570321976600477953790695787697676302362741554994306087e0,2.4423759007740043888184760629371815887933780035065286999497817594e-4,8.0951014750272690676104261469888661709385651417667560701601758982e-3,0
9.765625e-4,2.0011005456747562187376653834172451633288616500450854974742324798e0,2.0011005456747562187376653834172451633288616500450854974742324798e0,4.8854993790887602996525033774835086995333536378053845153179503900e-4,1.6259672469813597820693052598848689481428113140068940628358089574e-2,0
