# zero shifted mathieu eigen value precision_digits=64 n=15
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,6.1258632792498506665835241419470780259966282797289098877276522323e-18,6.1258632792498506665835241419470780259966282797289098877276522323e-18,2.7226059018888225184815662853098124559985014576572932834345121033e-20,2.3245463336439165478894972024893557198006208217287973923145927532e-19,0
1.08420217248550443400745280086994171142578125e-19,1.2251726558499701333381574682957776581479948047004113901294331990e-17,1.2251726558499701333381574682957776581479948047004113901294331990e-17,5.4452118037776450370584776368701229251021991320018284005752586623e-20,4.6490926672878330964643979161601214534137062651427628597505504786e-19,0
2.1684043449710088680149056017398834228515625e-19,2.4503453116999402667621254962170035281041614176898357551146148063e-17,2.4503453116999402667621254962170035281041614176898357551146148063e-17,1.0890423607555290074498335538742237902685161856399270022731621361e-19,9.2981853345756661956704098770458829631027299486898480631690085010e-19,0
4.336808689942017736029811203479766845703125e-19,4.9006906233998805338674932309357999035489717746996860058719722910e-17,4.9006906233998805338674932309357999035489717746996860058719722910e-17,2.1780847215110580150522192137492444015773207887554160026097654627e-19,1.8596370669151332402307275932994326159510401024306185853251849057e-18,0
8.67361737988403547205962240695953369140625e-19,9.8013812467997610691079554158787711973242329559911307650113054435e-17,9.8013812467997610691079554158787711973242329559911307650113054435e-17,4.3561694430221160307146468515016760876996590915516136733383579749e-19,3.7192741338302664848480376581598893317869938182791933540618571542e-18,0
1.73472347597680709441192448139190673828125e-18,1.9602762493599522143707786647786227962463172732842902723677540027e-16,1.9602762493599522143707786647786227962463172732842902723677540027e-16,8.7123388860442320638701273990161013166502989923746234327455733455e-19,7.4385482676605329872424052025638751156171393914090939565723881190e-18,0
3.4694469519536141888238489627838134765625e-18,3.9205524987199044309383076559687198251461566305077219906888514432e-16,3.9205524987199044309383076559687198251461566305077219906888514432e-16,1.7424677772088464137503589582083199222871807246700986625283784192e-18,1.4877096535321066044670129950104136459434864211652079803522679373e-17,0
6.938893903907228377647697925567626953125e-18,7.8411049974398088706636166175833366251275164415310898974897825044e-16,7.8411049974398088706636166175833366251275164415310898974897825044e-16,3.4849355544176928314060518300370385000566739740138177322176811131e-18,2.9754193070642132370081538080113821191895897414088274791805232451e-17,0
1.387778780781445675529539585113525390625e-17,1.5682209994879617776475238457750261503364764363197410667701236245e-15,1.5682209994879617776475238457750261503364764363197410667701236245e-15,6.9698711088353856784334393145556717792732286058655158523116605534e-18,5.9508386141284265863128188879849862357687088994902102517957617320e-17,0
