# zero shifted mathieu eigen value precision_digits=64 n=43
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,5.0144365144691761966344143149967940412685133388435662100546932052e-17,5.0144365144691761966344143149967940412685133388435662100546932052e-17,2.7119721549319503497211543077321763338391094315000358085747394295e-20,6.1052392627465619296468528618257714882940366018502547078862443128e-19,0
1.08420217248550443400745280086994171142578125e-19,1.0028873028938352393439406061212940253391242626626350590911003015e-16,1.0028873028938352393439406061212940253391242626626350590911003015e-16,5.4239443098639006995345624993039157671126244600467012390000016306e-20,1.2210478525493123863354151059185103919790334131920603839941014049e-18,0
2.1684043449710088680149056017398834228515625e-19,2.0057746057876704787561121847303289190300087976542380577002308148e-16,2.0057746057876704787561121847303289190300087976542380577002308148e-16,1.0847888619727801399438140533966083932017354232851476785831426797e-19,2.4420957050986247742950083460504451624166076107954710948980366905e-18,0
4.336808689942017736029811203479766845703125e-19,4.0115492115753409577851482594116213115476498266505932430911964759e-16,4.0115492115753409577851482594116213115476498266505932430911964759e-16,2.1695777239455602800352343209365177455638993113307697366637082077e-19,4.8841914101972495550867292289545878480884696642228439684143945290e-18,0
8.67361737988403547205962240695953369140625e-19,8.0230984231506819166619920786270965176905577148796179545269713659e-16,8.0230984231506819166619920786270965176905577148796179545269713659e-16,4.3391554478911205606608934984462393281182031989613942425781348653e-19,9.7683828203944991361603086053239658645666875388652990277674936287e-18,0
1.73472347597680709441192448139190673828125e-18,1.6046196846301363837690766396469608618919980765752665453209001160e-15,1.6046196846301363837690766396469608618919980765752665453209001160e-15,8.6783108957822411236834864231852940069875504411858655777225533588e-19,1.9536765640788998376268017800307093005642211438545077569149724942e-17,0
3.4694469519536141888238489627838134765625e-18,3.2092393692602727692848661749800879613258087592916678611230314941e-15,3.2092393692602727692848661749800879613258087592916678611230314941e-15,1.7356621791564482256813770551541849439295882959933303737820613813e-18,3.9073531281577997168325637959250835940918516473436407801822709038e-17,0
6.938893903907228377647697925567626953125e-18,6.4184787385205455455565839327048409058289997170979786858896443208e-15,6.4184787385205455455565839327048409058289997170979786858896443208e-15,3.4713243583128964551414731923768744758404541466187012903675739972e-18,7.8147062563155995999809685353048310189163392556965357693212173356e-17,0
1.387778780781445675529539585113525390625e-17,1.2836957477041091119060574196388342008448582419855364426742754807e-14,1.2836957477041091119060574196388342008448582419855364426742754807e-14,6.9426487166257929253978227130277674464297363006248590734141453798e-18,1.5629412512631199865225300844428348231795210535197480823582913817e-16,0
2.77555756156289135105907917022705078125e-17,2.5673914954082182349910773716691326916707930315155105022690749912e-14,2.5673914954082182349910773716691326916707930315155105022690749912e-14,1.3885297433251585911255150739151610014444526941673934571493104333e-17,3.1258825025262402391504056784131688207696454603773615191594794186e-16,0
5.5511151231257827021181583404541015625e-17,5.1347829908164365146980048729041242333846390794542759856825449315e-14,5.1347829908164365146980048729041242333846390794542759856825449315e-14,2.7770594866503172064348322730687529655947209732040432588872606444e-17,6.2517650050524815427221933949365319137864286846700004786351193483e-16,0
1.1102230246251565404236316680908203125e-16,1.0269565981632873208259410264071697387891464834567306467340233454e-13,1.0269565981632873208259410264071697387891464834567306467340233454e-13,5.5541189733006345096048730470912370945870550754825886789292771521e-17,1.2503530010104967343129914942315421513399203230071685279866414709e-15,0
2.220446049250313080847263336181640625e-16,2.0539131963265747131972422601197298627871473251522682908948322117e-13,2.0539131963265747131972422601197298627871473251522682908948322117e-13,1.1108237946601269406150580097997457343359368984057697625174863233e-16,2.5007060020209951717001942494412918544806148352595446436368896666e-15,0
4.44089209850062616169452667236328125e-16,4.1078263926531497125759253494611078004895495871056868344894639874e-13,4.1078263926531497125759253494611078004895495871056868344894639874e-13,2.2216475893202540360064496211255315308218223835076727065924629462e-16,5.0014120040419971556972335428055297359262132014573778598878621255e-15,0
8.8817841970012523233890533447265625e-16,8.2156527853063005698776140158095001732788189528790435149007118571e-13,8.2156527853063005698776140158095001732788189528790435149007118571e-13,4.4432951786405086911182336483555977140501995418491311600328349687e-16,1.0002824008084021560581847261383770137807454947722573433246956036e-14,0
