# zero shifted mathieu eigen value precision_digits=64 n=6
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.0036614396722955332164942407278294277499767124935907191018214400e-18,1.0036614396722955332164942407278294277029414703633606318540773988e-18,2.7879484435341542589347062242439706325734974761902102096609706094e-20,1.1470416453397663237692853537293593757071161367641401973625325914e-19,0
1.08420217248550443400745280086994171142578125e-19,2.0073228793445910664750357773006827710893986918627937540874264678e-18,2.0073228793445910664750357773006827707131167548209530561486352438e-18,5.5758968870683085179862104925018965858368270092829816808834190440e-20,2.2940832906795326477732086313624261428729566567272025589434070397e-19,0
2.1684043449710088680149056017398834228515625e-19,4.0146457586891821331182607379814612051404937882729077518420930120e-18,4.0146457586891821331182607379814612021302382919381821690223409035e-18,1.1151793774136617036439613161059614454542683444737624890089491549e-19,4.5881665813590652964849689583396818519242941165188423511352639838e-19,0
4.336808689942017736029811203479766845703125e-19,8.0292915173783642669092782094833050669590958910940643161276528093e-18,8.0292915173783642669092782094833050428770519204162596646188788771e-18,2.2303587548273234074747995026342514041439094182653227751036849564e-19,9.1763331627181305967241446991386819713099776074454222495094728767e-19,0
8.67361737988403547205962240695953369140625e-19,1.6058583034756728536509583353048140799281206611252866531707795500e-17,1.6058583034756728536509583353048140606624854845830429496425491014e-17,4.4607175096546468156971064869578168619313974245949022261296231269e-19,1.8352666325436261208465116528114637034448442009721703653847655390e-18,0
1.73472347597680709441192448139190673828125e-18,3.2117166069513457083783274442422404569219125105738625018375666855e-17,3.2117166069513457083783274442422403027968310982359131564723422507e-17,8.9214350193092936343842429006728899440538105677913550809859846336e-19,3.6705332650872522476997541575578366612074265576366116484581871958e-18,0
3.4694469519536141888238489627838134765625e-18,6.4234332139026914210622979830149303494702318280200327269330718325e-17,6.4234332139026914210622979830149291164695805293164424897811828208e-17,1.7842870038618587280728605508374804813805294940745104467658687019e-18,7.3410665301745045194264317228553104803765532401217263426696291636e-18,0
6.938893903907228377647697925567626953125e-18,1.2846866427805382859347168344151660420355867312162482365950203353e-16,1.2846866427805382859347168344151650556350656922533832881053594718e-16,3.5685740077237174609297689844865709689870172548189326731949719543e-18,1.4682133060349009134960557076669170718125886996272841131401355005e-17,0
1.387778780781445675529539585113525390625e-17,2.5693732855610765787584626200790535557651560677879776354431746360e-16,2.5693732855610765787584626200790456645609877560851739072354932609e-16,7.1371480154474349409957295002195822504529775331571549203870387457e-18,2.9364266120698018654351888677172549469950736189746586360404280296e-17,0
