# zero shifted mathieu eigen value precision_digits=64 n=31
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,2.6075090482707956781669023146398224905614246451684375309978203302e-17,2.6075090482707956781669023146398224905614246451684375309978203302e-17,2.7133288743712754195285143752755697092210454164083637159186475860e-20,4.4816561767154300729027528876519612648990625579755801047625340360e-19,0
1.08420217248550443400745280086994171142578125e-19,5.2150180965415913564228341642248657993501109328978342583039164314e-17,5.2150180965415913564228341642248657993501109328978342583039164314e-17,5.4266577487425508391496713467480393333507918136293800814817028423e-20,8.9633123534308601480653043572205535304598709016834020498907451222e-19,0
2.1684043449710088680149056017398834228515625e-19,1.0430036193083182713201786468230614871662271480048072607731801737e-16,1.0430036193083182713201786468230614871662271480048072607731801737e-16,1.0853315497485101678669913078283678326391541602547422068399377457e-19,1.7926624706861720305169803042107631068700295564561118671448039886e-18,0
4.336808689942017736029811203479766845703125e-19,2.0860072386166365427828045495584762835596765769174300027297177038e-16,2.0860072386166365427828045495584762835596765769174300027297177038e-16,2.1706630994970203358822107695717755291984147522553902213628696190e-19,3.5853249413723440646496383394881358209591371120022273357185635865e-18,0
8.67361737988403547205962240695953369140625e-19,4.1720144772332730861353981227663658043674617591209526884002580985e-16,4.1720144772332730861353981227663658043674617591209526884002580985e-16,4.3413261989940406723573341548037105144302411645379320378774798112e-19,7.1706498827446881437619876032427101036494381772626913328398372308e-18,0
1.73472347597680709441192448139190673828125e-18,8.3440289544665461745499523401303845604411137926249221796187100135e-16,8.3440289544665461745499523401303845604411137926249221796187100135e-16,8.6826523979880813470863187722480588558180164335326973773347658829e-19,1.4341299765489376345374818903551174317062347822744108534196841265e-17,0
3.4694469519536141888238489627838134765625e-18,1.6688057908933092358216529058651380949417035508691080225281530658e-15,1.6688057908933092358216529058651380949417035508691080225281530658e-15,1.7365304795976162703659239395058669042057268999678543418607211923e-18,2.8682599530978752922153012595365367175889106759849373164292571984e-17,0
6.938893903907228377647697925567626953125e-18,3.3376115817866184752899555630865209386653677318420454534223961857e-15,3.3376115817866184752899555630865209386653677318420454534223961857e-15,3.4730609591952325445264886192367543586528280248096206591284039393e-18,5.7365199061957506769919524343782825340520059909033693104096234315e-17,0
1.387778780781445675529539585113525390625e-17,6.6752231635732369651665101315980210114028776699180912459987591548e-15,6.6752231635732369651665101315980210114028776699180912459987591548e-15,6.9461219183904651042315401993735910628541911237441115983337764358e-18,1.1473039812391501724229304529977414920948112083053457512194116420e-16,0
