# zero shifted mathieu eigen value precision_digits=64 n=20
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.0869194711634129664422694722711519911466216055860791838241665604e-17,1.0869194711634129664422694722711519911466216055860791838241665604e-17,2.7172986779085324161056736806778799778665540139651979595604164009e-20,2.9965198453126673265172772202690712583694599905930435173875568245e-19,0
1.08420217248550443400745280086994171142578125e-19,2.1738389423268259329220547294456270895511371769039847622430559158e-17,2.1738389423268259329220547294456270895511371769039847622430559158e-17,5.4345973558170648323051368236140677238778429422599619056076397895e-20,5.9930396906253346541098971627733302404452159540875615287244648372e-19,0
2.1684043449710088680149056017398834228515625e-19,4.3476778846536518659941725985045466081567171501083208585350495428e-17,4.3476778846536518659941725985045466081567171501083208585350495428e-17,1.0869194711634129664985431496261366520391792875270802146337623857e-19,1.1986079381250669312521165214487411377566134022295253943088306285e-18,0
4.336808689942017736029811203479766845703125e-19,8.6953557693073037325885977554622629327141409524024130987206672811e-17,8.6953557693073037325885977554622629327141409524024130987206672811e-17,2.1738389423268259331471494388655657331785352381006032746801668203e-19,2.3972158762501338642247813984737826356639222281184894720815980033e-18,0
8.67361737988403547205962240695953369140625e-19,1.7390711538614607467578205744737204732494592249422840089193267797e-16,1.7390711538614607467578205744737204732494592249422840089193267797e-16,4.3476778846536518668945514361843011831236480623557100222983169494e-19,4.7944317525002677353317562192527667237739427749658243330381696547e-18,0
1.73472347597680709441192448139190673828125e-18,3.4781423077229214944760452424725124944962295764317162690769498527e-16,3.4781423077229214944760452424725124944962295764317162690769498527e-16,8.6953557693073037361901131061812812362405739410792906726923746318e-19,9.5888635050005354981922861277263393520788118175757558033898527816e-18,0
3.4694469519536141888238489627838134765625e-18,6.9562846154458429927937068590453111903479995686515671380919830612e-16,6.9562846154458429927937068590453111903479995686515671380919830612e-16,1.7390711538614607481984267147613277975869998921628917845229957653e-18,1.9177727010001071106499667012335903080253592647557750277099599706e-17,0
6.938893903907228377647697925567626953125e-18,1.3912569230891686000953879214491767261048528077252006054770912034e-15,1.3912569230891686000953879214491767261048528077252006054770912034e-15,3.4781423077229215002384698036229418152621320193130015136927280085e-18,3.8355454020002142653459713052204709728669172879379023668915725399e-17,0
1.387778780781445675529539585113525390625e-17,2.7825138461783372063373620414588114642950110128670176157853340056e-15,2.7825138461783372063373620414588114642950110128670176157853340056e-15,6.9562846154458430158434051036470286607375275321675440394633350141e-18,7.6710908040004287068760942214541082240211188372922086702756788253e-17,0
2.77555756156289135105907917022705078125e-17,5.5650276923566744372610688771594554564855941868970582433251921725e-15,5.5650276923566744372610688771594554564855941868970582433251921725e-15,1.3912569230891686093152672192898638641213985467242645608312980431e-17,1.5342181608000858118488794886960920369371288541940229713070700529e-16,0
5.5511151231257827021181583404541015625e-17,1.1130055384713348972867516931286244860988281590418921197250733385e-14,1.1130055384713348972867516931286244860988281590418921197250733385e-14,2.7825138461783372432168792328215612152470703976047302993126833463e-17,3.0684363216001719055924015550132966889498091126861107555841573179e-16,0
1.1102230246251565404236316680908203125e-16,2.2260110769426698339116550570441856205523372623122818931847446407e-14,2.2260110769426698339116550570441856205523372623122818931847446407e-14,5.5650276923566745847791376426104640513808431557807047329618616018e-17,6.1368726432003449387633734205112922105532723014677206783132438951e-16,0
2.220446049250313080847263336181640625e-16,4.4520221538853398251759167972361423877061475621736507753220508184e-14,4.4520221538853398251759167972361423877061475621736507753220508184e-14,1.1130055384713349562939791993090355969265368905434126938305127046e-16,1.2273745286400694387841028082963366730532748579460493404391007297e-15,0
4.44089209850062616169452667236328125e-16,8.9040443077706802797622603270635657872801813597282639875037517389e-14,8.9040443077706802797622603270635657872801813597282639875037517389e-14,2.2260110769426700699405650817658914468200453399320659968759379347e-16,2.4547490572801406816939181133705758529263014456839814946373233248e-15,0
8.8817841970012523233890533447265625e-16,1.7808088615541363077166227584493827025727860344118789393818081774e-13,1.7808088615541363077166227584493827025727860344118789393818081774e-13,4.4520221538853407692915568961234567564319650860296973484545204436e-16,4.9094981145602885798906862138654783975257709474690732624252443289e-15,0
1.7763568394002504646778106689453125e-15,3.5616177231082736224899282890467007085693332678577851001482313719e-13,3.5616177231082736224899282890467007085693332678577851001482313719e-13,8.9040443077706840562248207226167517714233331696444627503705784297e-16,9.8189962291206060257927723763299968768975035904701487365687434243e-15,0
3.552713678800500929355621337890625e-15,7.1232354462165512732065876666951996144878085677389533849230508098e-13,7.1232354462165512732065876666951996144878085677389533849230508098e-13,1.7808088615541378183016469166737999036219521419347383462307627025e-15,1.9637992458241327515631144547870020602405175742631658860230537503e-14,0
7.10542735760100185871124267578125e-15,1.4246470892433118659320099687878047887604963831218322992345970985e-12,1.4246470892433118659320099687878047887604963831218322992345970985e-12,3.5616177231082796648300249219695119719012409578045807480864927461e-15,3.9275984916483116887444688283091080769061696137221400988736310926e-14,0
1.42108547152020037174224853515625e-14,2.8492941784866301770267896794350337363589553875352404207497319649e-12,2.8492941784866301770267896794350337363589553875352404207497319649e-12,7.1232354462165754425669741985875843408973884688381010518743299122e-15,7.8551969832968081199618973367673777153615672822789315226574272540e-14,0
2.8421709430404007434844970703125e-14,5.6985883569732861347046583268226816711595702262464995350127520166e-12,5.6985883569732861347046583268226816711595702262464995350127520166e-12,1.4246470892433215336761645817056704177898925565616248837531880041e-14,1.5710393966594355209815633435801367563712030254664738101372629068e-13,0
5.684341886080801486968994140625e-14,1.1397176713946675392013632529575160640804528738017848914318273826e-11,1.1397176713946675392013632529575160640804528738017848914318273826e-11,2.8492941784866688480034081323937901602011321845044622285795684565e-14,3.1420787933191666299198622254028910753754901729613949088953848118e-13,0
1.136868377216160297393798828125e-13,2.2794353427893763274444528595824234513305074508590127922064168627e-11,2.2794353427893763274444528595824234513305074508590127922064168627e-11,5.6985883569734408186111321489560586283262686271475319805160421568e-14,6.2841575866395156116666668704640340768465487118594757133636786457e-13,0
2.27373675443232059478759765625e-13,4.5588706855789176510558111601981914255501288973259529779605144061e-11,4.5588706855789176510558111601981914255501288973259529779605144061e-11,1.1397176713947294127639527900495478563875322243314882444901286015e-13,1.2568315173283760630641105553063329263589627669046454225296233845e-12,0
4.5474735088646411895751953125e-13,9.1177413711584952867792442954399947844565483613270320695643199028e-11,9.1177413711584952867792442954399947844565483613270320695643199028e-11,2.2794353427896238216948110738599986961141370903317580173910799757e-13,2.5136630346586438890513315422685730227013858716025958086206240180e-12,0
9.094947017729282379150390625e-13,1.8235482742319630512228978178336308038563769640171277047462627990e-10,1.8235482742319630512228978178336308038563769640171277047462627990e-10,4.5588706855799076280572445445840770096409424100428192618656569976e-13,5.0273260693248548297951184655751965593504840420899061147885536587e-12,0
1.818989403545856475830078125e-12,3.6470965484649820779139928204752855874763659786938198688852226191e-10,3.6470965484649820779139928204752855874763659786938198688852226191e-10,9.1177413711624551947849820511882139686909149467345496722130565478e-13,1.0054652138679977866360167690617970259644145349617100887922291479e-11,0
3.63797880709171295166015625e-12,7.2941930969341880577007851787866398760008730375022752574549099390e-10,7.2941930969341880577007851787866398760008730375022752574549099390e-10,1.8235482742335470144251962946966599690002182593755688143637274847e-12,2.0109304277481028559800932301629256372941392182592819000107355586e-11,0
7.2759576141834259033203125e-12,1.4588386193885271722892854897749337560415050355863376183606378768e-9,1.4588386193885271722892854897749337560415050355863376183606378768e-9,3.6470965484713179307232137244373343901037625889658440459015946921e-12,4.0218608555446348427931243345015940218126617106038192308939140669e-11,0
1.4551915228366851806640625e-11,2.9176772387838125875751539066857182360588388840117929571243098814e-9,2.9176772387838125875751539066857182360588388840117929571243098814e-9,7.2941930969595314689378847667142955901470972100294823928107747036e-12,8.0437217112829862089235930138536594603692630932792921898165653112e-11,0
2.910383045673370361328125e-11,5.8353544775946581471371924104382793286476928095918431400046776337e-9,5.8353544775946581471371924104382793286476928095918431400046776337e-9,1.4588386193986645367842981026095698321619232023979607850011694084e-11,1.6087443423340838511241306192291914918345947062336026478355516024e-10,0
5.82076609134674072265625e-11,1.1670708955297448182226346317331756260311359773226554084433833318e-8,1.1670708955297448182226346317331756260311359773226554084433833318e-8,2.9176772388243620455565865793329390650778399433066385211084583295e-11,3.2174886849781141396417035324427206997946788591070330312878802593e-10,0
1.16415321826934814453125e-10,2.3341417911027423916295923485991816217971871077901392852265462733e-8,2.3341417911027423916295923485991816217971871077901392852265462733e-8,5.8353544777568559790739808714979540544929677694753482130663656834e-11,6.4349773711960140291435300660960836420036983192821192506966484992e-10,0
2.3283064365386962890625e-10,4.6682835823784958040247849301435415429538031202810986834852981596e-8,4.6682835823784958040247849301435415429538031202810986834852981596e-8,1.1670708955946239510061962325358853857384507800702746708713245399e-10,1.2869954747351171060018382740329816737548126341196120809665086903e-9,0
4.656612873077392578125e-10,9.3365671654490356913384339315041899218598751999720642231010121620e-8,9.3365671654490356913384339315041899218598751999720642231010121620e-8,2.3341417913622589228346084828760474804649687999930160557752530405e-10,2.5739909514538914145288700757310866547239148981973714527982904344e-9,0
9.31322574615478515625e-10,1.8673134333666247717644029265376581501071836873103047018714119205e-7,1.8673134333666247717644029265376581501071836873103047018714119205e-7,4.6682835834165619294110073163441453752679592182757617546785298012e-10,5.1479819108424116538198301657871610199551532584261212626265899935e-9,0
1.86264514923095703125e-9,3.7346268678405200789650345112362167520291746896513267680769613193e-7,3.7346268678405200789650345112362167520291746896513267680769613193e-7,9.3365671696013001974125862780905418800729367241283169201924032981e-10,1.0295963853423338723978548072334010937970106796502749069913943417e-8,0
3.7252902984619140625e-9,7.4692537401101223112698964842457993303673487156231138346991754421e-7,7.4692537401101223112698964842457993303673487156231138346991754421e-7,1.8673134350275305778174741210614498325918371789057784586747938605e-9,2.0591927833800740051636875841685254715939232071743321914359917996e-8,0
7.450580596923828125e-9,1.4938507497936573328658406271356075028895545117618531956702523133e-6,1.4938507497936573328658406271356075028895545117618531956702523133e-6,3.7346268744841433321646015678390187572238862794046329891756307833e-9,4.1183856175417738024586816604078265302195967681166989116363277552e-8,0
1.490116119384765625e-8,2.9877015066738462223865706564064881213432847919228909759030079242e-6,2.9877015066738462223865706564064881213432847919228909759030079242e-6,7.4692537666846155559664266410162203033582119798072274397575198106e-9,8.2367714382100567787179322125133190173728276031779568163633107542e-8,0
2.98023223876953125e-8,5.9754030416938192650522726312336642945074489219252821716105093540e-6,5.9754030416938192650522726312336642945074489219252821716105093510e-6,1.4938507604234548162630681578084160736268622304813205429026273381e-8,1.6473543688926198294843859656178468525485701633658387537728187513e-7,0
5.9604644775390625e-8,1.1950806196772150560497997206638003192718989100147192714300728094e-5,1.1950806196772150560497997206638003192718989100147192714300725035e-5,2.9877015491930376401244993016595007981797472750367981785751816411e-8,3.2947090627877119877013077990603118860786028156015658269332118879e-7,0
1.1920928955078125e-7,2.3901612847082387236790607418085310727983290480227977455930978124e-5,2.3901612847082387236790607418085310727983290480227977455927844828e-5,5.9754032117705968091976518545213276819958226200569943639823528690e-8,6.5894194255856207605636539936414378028116473677738760139609510227e-7,0
2.384185791015625e-7,4.7803227508317422890612378540142852620056865633558565539490938697e-5,4.7803227508317422890612378540142852620056865633558565536282445475e-5,1.1950806877079355722653094635035713155014216408389641384471673022e-7,1.3178844051214488424837705122109587950317019154125144812115916880e-6,0
4.76837158203125e-7,9.5606462273247871081551424158427534309414241764610866575819746406e-5,9.5606462273247871081551424158427534309414241764610863290327017237e-5,2.3901615568311967770387856039606883577353560441152716233268345455e-7,2.6357708902621642588552313524439246188255426055956975914208740014e-6,0
9.5367431640625e-7,1.9121295357296729644411074819964863024317527818272893621320078501e-4,1.9121295357296729644411074819964863024317527818272557187751373882e-4,4.7803238393241824111027687049912157560793819545681813511339315478e-7,5.2715501006171373436981252018783726501589867622381700056588827297e-6,0
1.9073486328125e-6,3.8242602325197643500322613756287237262589456739049211772489488337e-4,3.8242602325197643500322613756287237262589456738704705614219323876e-4,9.5606505812994108750806534390718093156473641847192396733386015266e-7,1.0543133481731450734182525172546420518421399134531281836479434164e-5,0
3.814697265625e-6,7.6485251092936524404809991069756294535617526061613322053831685941e-4,7.6485251092936524404809991069756294535617525708842735300316490516e-4,1.9121312773234131101202497767439073633904381471307007169268522057e-6,2.1086400086459139587706593889157444023886128025924957533706342913e-5,0
7.62939453125e-6,1.5297068795703401193784175593040323234775279073668744680101084356e-3,1.5297068795703401193784175593040323234775242950722367193594034477e-3,3.8242671989258502984460438982600808086938152530488889842118898542e-6,4.2173332672963630944607736330074058772850902584697964004825687386e-5,0
1.52587890625e-5,3.0594211900668012922467609837114782284912453721055336253996187590e-3,3.0594211900668012922467609837114782284875465383899237890293220561e-3,7.6485529751670032306169024592786955712234898881193217680361760188e-6,8.4348795410593908715089690270607303804414264448129846515592719178e-5,0
3.0517578125e-5,6.1188721044755701854230701512130157823563408139452322479030728602e-3,6.1188721044755701854230701512130157785690545475198926418581725721e-3,1.5297180261188925463557675378032539451156744201831406112201556790e-5,1.6870611159576905148160749104985468245616497671220083622105382349e-4,0
6.103515625e-5,1.2237863111419248466983420405720542136403912812653833149244089779e-2,1.2237863111419248466983420405720538258876960297120761593974705552e-2,3.0594657778548121167458551014301350494101091387218243429023494165e-5,3.3744631041770394120107538594964710016563192950503893590707690735e-4,0
1.220703125e-4,2.4476201873518761536140464044956409649414817556313016648977394529e-2,2.4476201873518761536140464044952440401312894043588838587223233052e-2,6.1190504683796903840351160112386062563409639499877319045250784476e-5,6.7502900277118027588185505095867049606587107220613658029944173398e-4,0
2.44140625e-4,4.8954306676316166305293236241889763607556223837787906514155446821e-2,4.8954306676316166305293236237827995728139630138081164123588371040e-2,1.2238576669079041576323309059964719916961981746983633829717977233e-4,1.3506037976685012909387325184806707170242896542603987370157676273e-3,0
4.8828125e-4,9.7916227683727577909819506616712719587963898697584935519166092867e-2,9.7916227683727577909819502463073829608870406241229301701693922265e-2,2.4479056920931894477454876134973318649604288117351779652607501891e-4,2.7033928810550675707679994193185280197665538564861854625679572348e-3,0
9.765625e-4,1.9586293362803861761176812781637032722071558312661004346569296055e-1,1.9586293362803861761176388596367455002816002727144742635835536979e-1,4.8965733407009654402941501722505609656109451299757183728006041293e-4,5.4155438771474466840398146719393726794255224528381491968064514169e-3,0
0.001953125,3.9184794817893931554379077078391782108602802599990289863422384670e-1,3.9184794817893931553947053514627721451856559290254790232545876638e-1,9.7961987044734828885407663241274379450574202362806350119960326634e-4,1.0866256545376541395138478349252825458945693844960683298935200095e-2,0
0.0029296875,5.8795538053567332009746645285490108508646404457224094324206919524e-1,5.8795538053567331984968465311207823473312252205076108736014211047e-1,1.4698884513391832999339388824587241497744832082787525382527641321e-3,1.6352412257997401462234760880330040732777940598646592819278992821e-2,0
0.00390625,7.8418556938659819042695098960935703791548603328545882003224641758e-1,7.8418556938659818605068591484533645736205693041973778527196808109e-1,1.9604639234664954705970461305683668690969287046314957566302681233e-3,2.1874287834542475237633203345987574017119361651347779633729065085e-2,0
0.0048828125,9.8053885524032986683245069764153975633113012562262921540899010853e-1,9.8053885524032982629578113415008092544686539411712470778409178409e-1,2.4513471381008246164102897897395258522224943996746924039913523658e-3,2.7432162689492722374141536950344826884590276830637113374377405398e-2,0
0.005859375,1.1770155804407837505952911608687568174132371661804148531144301194e0,1.1770155804407835009621189066945979056662533287751886623209525717e0,2.9425389511019590644467625844541934038493631186945043942942283639e-3,3.3026318861386552572963280963874298283448732461645684199412883598e-2,0
0.0068359375,1.3736160891823873668769261858902692193207191034288475363854966255e0,1.3736160891823862070066772416667682234177225070427439131670540499e0,3.4340402229559669673545042844462968034230520130894893119406883443e-3,3.8657041042317554286099306981825012688989764620881834182885383726e-2,0
0.0078125,1.5703407275254672672187687729155483010447661550166771771875417708e0,1.5703407275254628822598106246388628682400869133665222225001291625e0,3.9258518188136626868482242469430139616060663354789992496095886666e-3,4.4324616607827156454891122903700741280631175073235586371802220656e-2,0
0.0087890625,1.7671898434118129644178279775217831885709823609476586513529311057e0,1.7671898434117988024096763184859870067340462623978827876757057156e0,4.4179746085295147085343803700097127441312857791819267987857960266e-3,5.0029335647198480371587642574008347495286762867365620661399429726e-2,0
0.009765625,1.9641637866804208656329960319464967942762391183585843963233379268e0,1.9641637866803804702948802467186223254033128671619489045016092163e0,4.9104094667010016699098453483313988995994399819006666260311839290e-3,5.5771490994157755223608139192369370793973387624583832954579761307e-2,0
0.0107421875,2.1612629090834213847210620607458408842970207733787774212251091363e0,2.1612629090833171800921794008597201321242645517880425611553280905e0,5.4031572727084232060165518270069512705266066564585249779755465334e-3,6.1551378257989789882413583471847699935861092713143660333593653759e-2,0
0.01171875,2.3584875643021926768478786404034576932428239663791234241399027385e0,2.3584875643019452772821305353268633111986845958179608615715634439e0,5.8962189107551724426625114696629012555518857027463553571393327280e-3,6.7369295855074115094285648884865767286182421110797885542603331710e-2,0
0.0126953125,2.5558381079636647518321770240025752750740784050939845693003960048e0,2.5558381079631169244953027080315933737285813502031262969219600387e0,6.3895952699084770954093496650427108110033246941213885827779450543e-3,7.3225545040848534484398474556516968796348117793560861086041760435e-2,0
0.013671875,2.7533148976568180915573244670664115620043263342668619104546229706e0,2.7533148976556749194477520767139891684645610899887202095908596851e0,6.8832872441406162637563456797255009130861092803194776500568533197e-3,7.9120429942206949765818187592608265336824391789505940095458782482e-2,0
0.0146484375,2.9509182929493813248766408013346611016840602854643554856790863680e0,2.9509182929471147904848211795323758016209455727006686289606897234e0,7.3772957323706201442018274760837961291312573227062801432997201143e-3,8.5054257590338455320923298893119559260207823961387158375569263748e-2,0
0.015625,3.1486486554047330041445453239592259122163090711062928400855436940e0,3.1486486554004350144300159872129141924728323787818175849473816818e0,7.8716216385064600232182016389651751308614268123601380312911567197e-3,9.1027337954014829965695229885618599584024941190351810514328383744e-2,0
0.0166015625,3.3465063485990130838996510433976159529547501396751948490532136028e0,3.3465063485911757574789218699920606777536899331748218283767056956e0,8.3662658714877360517232161417370957883855500910625208467873991230e-3,9.7039983973333689290987605607567517427119604286024386255352547822e-2,0
0.017578125,3.5444917381384503270547697096561312948257846290641181880243220555e0,3.5444917381246460301103767695711378678820298798605447869902389379e0,8.8612293453288704464564330990340864533847681361558287187682012418e-3,1.0309251159392470057503853304013724859348703239368555868815347325e-1,0
0.0185546875,3.7426051916769125596471204840304304403108216798696748215627836965e0,3.7426051916533385690476644988433577009585153435406353864111824807e0,9.3565129791628139108684812285922351765866712792628877599674577214e-3,1.0918523980162640395619788561183103757938010601247298442666443772e-1,0
0.01953125,3.9408470789336874639005730226011780374261756105927410089028822305e0,3.9408470788945311111367933759488107749349349261562687586025327025e0,9.8521176972852732187967079981874860154513881709362622093817686663e-3,1.1531849065764132842449898170382488023845790017629230749435659691e-1,0
0.0205078125,4.1392177717115024428868816122351952368313987109343902040523741293e0,4.1392177716480720038593756685593625038481746228854050939817636569e0,1.0348044429199468058432821600993197175849466667274744122542672233e-2,1.2149258933417723931813110698249635609245407401455797962487723472e-1,0
0.021484375,4.3377176439147930099958698953471300888982418693583270478701740455e0,4.3377176438143473035943806485028927709391304681031552469228991589e0,1.0844294109661425391987813179812528574796715421826852868491341505e-2,1.2770786415058250548139376280413002919295595567517870759822975119e-1,0
0.0224609375,4.5363470715682301540107062652726233873372699186074368058864949498e0,4.5363470714124256444950336406106258764600450155412741568336789250e0,1.1340867678725819748132174882354061579746643667685888703400217344e-2,1.3396464660998372914225877857060317624636883837440752280671946884e-1,0
0.0234375,4.7351064328355182068420303136088866946598439387343584976726513716e0,4.7351064325983762170332513551674042063138160699905120770356663364e0,1.1837766081792368029844102085970363626217075010906088218385397135e-2,1.4026327143643393999084360768465295971341141137644732745331929996e-1,0
0.0244140625,4.9339961080384758966537741934019443470010680279761441892880269146e0,4.9339961076837541752243774942697869720424667634093959240340871038e0,1.2334990269652787589847689609589664148804418489231925141652642523e-2,1.4660407661257981697830268022642372074329511343305527718315491465e-1,0
0.025390625,5.1330164796764145047145056740283095424194748492138010325222862352e0,5.1330164791542466948724859230047454859252530865412551275993843179e0,1.2832541198538326499483739496291318785430909919693820200152088191e-2,1.5298740341785656710515110116865539324161424981649472046268489520e-1,0
0.0263671875,5.3321679324458283600903560087123281295018914030361813530848680667e0,5.3321679316884717317083895702646980723234588045294219878250470848e0,1.3330419830167875114748431973721282752281687759457004176137393939e-2,1.5941359646721926002811070962728313699682882429439915365731527852e-1,0
0.02734375,5.5314508532604143022857174366825541448211038733708501185127042284e0,5.5314508521769202781021131492527548556696908272555663556951433706e0,1.3828627131796668225484788232419136250613493375783020592759809499e-2,1.6588300375041959078757229666743816325067400967970662762229599567e-1,0
0.0283203125,5.7308656312714382179380291917624982342005746086692947531032936728e0,5.7308656297410315904204111752827360694378518763741725508331596861e0,1.4327164076265587260448050458806542879548033106304334129920566699e-2,1.7239597667183722044926764361009929084227619150660338482844355375e-1,0
0.029296875,5.9304126578884683132688152465870771204721318712750632486699129547e0,5.9304126557523894565895450911208582518474213203793996679942736169e0,1.4826031642051072212322950422134919215399441489568078645830233215e-2,1.7895287009087502607263517519454748575876843805760927115222822371e-1,0
0.0302734375,6.1300923268004964185618969982573011968668232463629375497691133700e0,6.1300923238520260957479566270375573785455047249221214935374606275e0,1.5325230813315653142887317031618573219265409964106323804133217497e-2,1.8555404236292777727698678403363823247347453521901568198590544314e-1,0
0.03125,6.3299050339974703336578909703035804127358335372926571403106002120e0,6.3299050299698187299714189022107074679845317359814681968542912494e0,1.5824762579959111329536637340642859850900456591592656671456114327e-2,1.9219985538093394689086173949501112922588064995394595576929082366e-1,0
0.0322265625,6.5298511777922620133051951497900269510982879803919376381879881219e0,6.5298511723439622430607064816843909933379681708673636659413802348e0,1.6324627937670280320457377039343022430545320189074126630161710446e-2,1.9889067461752055785951923372842860454007430041294635049110843542e-1,0
0.033203125,6.7299311588430982569896442746694631109190190268457974397133746685e0,6.7299311515404996446247185856459842616071273194139497661600968214e0,1.6824827887979497377017953575394309215657682932824684007341839362e-2,2.0562686916775116787385856432000596644540149223818492053162546579e-1,0
0.0341796875,6.9301453801764825081977429103372272927391056264457275356031731312e0,6.9301453704728902906789590645447208403872444488257620124405039262e0,1.7325363438311715998595877468602435166407937594089361935054596322e-2,2.1240881179248729719864798926594879043119771937365975397872576313e-1,0
0.03515625,7.1304942472106383814008908551078203980082133996196317100583347734e0,7.1304942344215939763946332424256423877065612796053445717820493874e0,1.7826235602040290447244405121916828482143468349031220352300480201e-2,2.1923687896237381405042402174769109454430829938875304778049835425e-1,0
0.0361328125,7.3309781677795076196656153951468099375002673144703562420885244701e0,7.3309781510536471143304251133431719177641480401003954683609421174e0,1.8327445398541443417495050635612477319080519193213439638061833234e-2,2.2611145090245900574173785235934092376108874523444433418280156503e-1,0
0.037109375,7.5315975521573373398261353297716651796808768392477825195508100269e0,7.5315975304422052444722975047859450516662413562838964450118602024e0,1.8828993853249428230373041043197012789183897744414598705703337787e-2,2.3303291163746028280899900667572101008645344796512695045825540281e-1,0
0.0380859375,7.7323528130838936435793987355371505454598023983577222236991749311e0,7.7323527850860240928667672737486452006581559507355444634099957806e0,1.9330881997712397170557707511607244682647447936366583358886463390e-2,2.4000164903768668762107659093661680696601832528792638805699919539e-1,0
0.0390625,7.9332443657903409595147927951195857663673638262219812398838585281e0,7.9332443299288493058792199044309770325740050704155772481960540335e0,1.9833110869648987831742515874438203498676711120796948110099890702e-2,2.4701805486562960867498125454116213352918346920609351780458635084e-1,0
