# zero shifted mathieu eigen value precision_digits=64 n=44
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,5.2502504210390558490370843027401726249645929500254540754119854195e-17,5.2502504210390558490370843027401726249645929500254540754119854195e-17,2.7119062092143883517753534621591800748784054493933130554813974274e-20,6.2406077356019785305822899027414067525577982494930272335349888445e-19,0
1.08420217248550443400745280086994171142578125e-19,1.0500500842078111698252735626646930683782594914293851169398144137e-16,1.0500500842078111698252735626646930683782594914293851169398144137e-16,5.4238124184287767036429419559126708077389436540774024635320992444e-20,1.2481215471203957065398987185166325938922763744648019796873472590e-18,0
2.1684043449710088680149056017398834228515625e-19,2.1001001684156223397219739337960203103084242090091528580864045978e-16,2.1001001684156223397219739337960203103084242090091528580864045978e-16,1.0847624836857553407654824038202584247460868848187773027305808873e-19,2.4962430942407914147735603889066701625579268649453445381507840337e-18,0
4.336808689942017736029811203479766845703125e-19,4.2002003368312446797296551014585773149088022862454795472581194355e-16,4.2002003368312446797296551014585773149088022862454795472581194355e-16,2.1695249673715106816785408581914139023289268007466319975506815266e-19,4.9924861884815828363221725853069602342134079359612869803154001811e-18,0
8.67361737988403547205962240695953369140625e-19,8.4004006736624893606021391383833014076600837544048010935848258957e-16,8.4004006736624893606021391383833014076600837544048010935848258957e-16,4.3390499347430213639473859185864160163533490466966947797442282519e-19,9.9849723769631656997445524005884001848494946322660505131129869844e-18,0
1.73472347597680709441192448139190673828125e-18,1.6800801347324978725775594018631189932087393908506143591849789154e-15,1.6800801347324978725775594018631189932087393908506143591849789154e-15,8.6780998694860427302559886459871848822765464403440824338067092740e-19,1.9969944753926331507889933721074719875649399794394690329986637915e-17,0
3.4694469519536141888238489627838134765625e-18,3.3601602694649957469836451004720728374422170792127840239058773806e-15,3.3601602694649957469836451004720728374422170792127840239058773806e-15,1.7356199738972085469956844527231781185135418797586694338356804652e-18,3.9939889507852663449383183121741122897178005616149260264344105167e-17,0
6.938893903907228377647697925567626953125e-18,6.7203205389299915012813953879274851135261692495352994902940808865e-15,6.7203205389299915012813953879274851135261692495352994902940808865e-15,3.4712399477944170977693157995493208231023601495533571747386781439e-18,7.9879779015705328633179628961849019354493346605015140279562258488e-17,0
1.387778780781445675529539585113525390625e-17,1.3440641077859983031819211523788328257961534072017610849670347125e-14,1.3440641077859983031819211523788328257961534072017610849670347125e-14,6.9424798955888342106504191755105001332445940454636419678049313661e-18,1.5975955803141066420401230879716546076250012480712832572999203413e-16,0
2.77555756156289135105907917022705078125e-17,2.6881282155719966180664106039310090850297892103888027351991641487e-14,2.6881282155719966180664106039310090850297892103888027351991641487e-14,1.3884959791177668481747988656668435356558828566057865367764277628e-17,3.1951911606282135615863682108820323224276669685273744948635238222e-16,0
5.5511151231257827021181583404541015625e-17,5.3762564311439932829430944045553936723999413391706452854751262992e-14,5.3762564311439932829430944045553936723999413391706452854751262992e-14,2.7769919582355337205284578535926620208677382950261597548941768074e-17,6.3903823212564282331972245615191668738630094946388443788420637014e-16,0
1.1102230246251565404236316680908203125e-16,1.0752512862287986753127281595884303502884801027530566470727268540e-13,1.0752512862287986753127281595884303502884801027530566470727268540e-13,5.5539839164710675377723561962212311481842980514104165654582998655e-17,1.2780764642512860906492401682060421066132862564577363348681241721e-15,0
2.220446049250313080847263336181640625e-16,2.1505025724575974255218934338862784827897008856783588973736729607e-13,2.1505025724575974255218934338862784827897008856783588973736729607e-13,1.1107967832942135462406474348586149187963331021065903395525170252e-16,2.5561529285025739573376613600222618624902230199729933978523861608e-15,0
4.44089209850062616169452667236328125e-16,4.3010051449151951506295353266103186462605512160634530620643856353e-13,4.3010051449151951506295353266103186462605512160634530620643856353e-13,2.2215935665884272472259996521747513668701194297848414576778851422e-16,5.1123058570051550188320468144959760972423526991495402673101133814e-15,0
8.8817841970012523233890533447265625e-16,8.6020102898303914996020644885724084298871940038234045544679877614e-13,8.6020102898303914996020644885724084298871940038234045544679877614e-13,4.4431871331768551134308184341799630319665258284211800384648697115e-16,1.0224611714010338454290990006883695885190769330457273700607824290e-14,0
1.7763568394002504646778106689453125e-15,1.7204020579660787792576104318557696726370704649029814132265428859e-12,1.7204020579660787792576104318557696726370704649029814132265428859e-12,8.8863742663537127027769133876847607057699920707798626716247049890e-16,2.0449223428020790575089565526021840146473296713198591204755846171e-14,0
3.552713678800500929355621337890625e-15,3.4408041159321594758640110002813275456182278886616577388096352551e-12,3.4408041159321594758640110002813275456182278886616577388096352551e-12,1.7772748532707435309214932852692807570342086201764761047570430037e-15,4.0898446856042035816209473106561262703453707599134517190031669369e-14,0
7.10542735760100185871124267578125e-15,6.8816082318643266211231825468788979222572863291641801343938637147e-12,6.8816082318643266211231825468788979222572863291641801343938637147e-12,3.5545497065414910233074290014870340507527305419236467636331940675e-15,8.1796893712085890296540314475191166298057541588283497249081744553e-14,0
1.42108547152020037174224853515625e-14,1.3763216463728683919827007279319487405753761365006767485175761764e-11,1.3763216463728683919827007279319487405753761365006767485175761764e-11,7.1090994130829978924726277269212228335504965728340741142436785972e-15,1.6359378742417905524956610235064338615370517017323939210481317647e-13,0
2.8421709430404007434844970703125e-14,2.7526432927457490549976583303259502953711285838771049041412880602e-11,2.7526432927457490549976583303259502953711285838771049041412880602e-11,1.4218198826166059168376334350857181277743432767960252604035578823e-14,3.2718757484838720912507410111822290648194692133158166449881931701e-13,0
5.684341886080801486968994140625e-14,5.5052865854915471941243441603991213654214910969311979971077807695e-11,5.5052865854915471941243441603991213654214910969311979971077807695e-11,2.8436397652332371870476984299582238457755635831256188001589776702e-14,6.5437514969689081275391581043132570921960333467883261692361969891e-13,0
1.136868377216160297393798828125e-13,1.1010573170983290724764798334979201971943700356584199891372710797e-10,1.1010573170983290724764798334979201971943700356584199891372710797e-10,5.6872795304665757875851231069107448202188534899711776298412762380e-14,1.3087502993942472035229022338592538799890028474296505585820215716e-12,0
2.27373675443232059478759765625e-13,2.2021146341967366795594036848218850047391780302118285372911948963e-10,2.2021146341967366795594036848218850047391780302118285372911948963e-10,1.1374559060933557229129151264575852297206498089937130874437990167e-13,2.6175005987903567191060883614415806194561019337383763578056677599e-12,0
4.5474735088646411895751953125e-13,4.4042292683937874975445835381772357622113092383767577490452646557e-10,4.4042292683937874975445835381772357622113092383767577490452646557e-10,2.2749118121868737074093923234386548358529489867648542092175953800e-13,5.2350011975881626864533238316687568000678145800122440645498630956e-12,0
9.094947017729282379150390625e-13,8.8084585367888315487922725283226330268039745983203143126872902308e-10,8.8084585367888315487922725283226330268039745983203143126872902308e-10,4.5498236243743964611530333307451616873987472098761954094459143754e-13,1.0470002395206122365871328369626329102894814775711380130647072660e-11,0
1.818989403545856475830078125e-12,1.7616917073582689312396973087192300007528643693284430248380168736e-9,1.7616917073582689312396973087192300007528643693284430248380168736e-9,9.0996472487513891076430646111530475245499192630601395911054590579e-13,2.0940004790531432703602117733579390636975301512776257216113838754e-11,0
3.63797880709171295166015625e-12,3.5233834147185483484043708077967839590684989174702914474770536264e-9,3.5233834147185483484043708077967839590684989174702914474770536264e-9,1.8199294497513162956634146734487520449733982011726712022092219144e-12,4.1880009581539617294647984797837544040764525615248107171822861689e-11,0
7.2759576141834259033203125e-12,7.0467668294451386405086862021429470839964395445804695567700342163e-9,7.0467668294451386405086862021429470839964395445804695567700342163e-9,3.6398588995067864878660569225944974607419625746799946057696457729e-12,8.3760019164986242139118209745365918379431424190155500703449235588e-11,0
1.4551915228366851806640625e-11,1.4093533658922445055817469351412082758736285243936561921026398643e-8,1.4093533658922445055817469351412082758736285243936561921026398643e-8,7.2797177990301885618891887145723567968679159317854142154061976460e-12,1.6752003833760051447790332270531923010087546128162240678332162636e-10,0
2.910383045673370361328125e-11,2.8187067317973561210837875298758379177911334963486307210584698743e-8,2.8187067317973561210837875298758379177911334963486307210584698743e-8,1.4559435598126839468407993439441311558838499464610695873235898111e-11,3.3504007670571314975749779919586602365672605586998862366030800167e-10,0
5.82076609134674072265625e-11,5.6374134636461806818507887440690629441619365470561608440463506621e-8,5.6374134636461806818507887440690629441619365470561608440463506621e-8,2.9118871196519528315344983182174911901662895387686781219247679040e-11,6.7008015353347478274594854095223282796875028128669263154538036862e-10,0
1.16415321826934814453125e-10,1.1274826927498235122450744592959434780789054880657829111598322906e-7,1.1274826927498235122450744592959434780789054880657829111598322906e-7,5.8237742394102454144890209674377245768538506614968125576437618315e-11,1.3401603075551434986092154715762586915076299428455987394454337854e-9,0
2.3283064365386962890625e-10,2.2549653855819965280028656545652545643233589358627746513224795693e-7,2.2549653855819965280028656545652545643233589358627746513224795693e-7,1.1647548479245849834725545736390777708281812685241604603938427527e-10,2.6803206170630627312357574584470600019634468309539495361164622054e-9,0
4.656612873077392578125e-10,4.5099307714933910701609974054377029253782814257011694716288844389e-7,4.5099307714933910701609974054377029253782814257011694716288844389e-7,2.3295096960193135692980358499161688664144015628621743138578948548e-10,5.3606412419372284109252446496360730886505625287432857456264875110e-9,0
9.31322574615478515625e-10,9.0198615443043741977782524162935032255656753981798156486440811506e-7,9.0198615443043741977782524162935032255656753981798156486440811506e-7,4.6590193927192015484391799670937516660979728296383345292583063795e-10,1.0721282515118868714740797902027320960940311241952707735033697605e-8,0
1.86264514923095703125e-9,1.8039723093879116632063081029846537896781414929213059612683686911e-6,1.8039723093879116632063081029846537896781414929213059612683686911e-6,9.3180387881607007397020046641769307318085820915356712875432267101e-10,2.1442565155215385793645952377807892790798778744509621696665730347e-8,0
3.7252902984619140625e-9,3.6079446208839706263604833278589369460430955375493559913782481597e-6,3.6079446208839706263604833278589369460430955375493559913782481597e-6,1.8636077587210592078308281652163930506420948024531797476127314875e-9,4.2885130810341371384774384967428501871489532491980427375992723959e-8,0
