# zero shifted mathieu eigen value precision_digits=64 n=42
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,4.7840436235315572962856609307878009298509970922238925467564094770e-17,4.7840436235315572962856609307878009298509970922238925467564094770e-17,2.7120428704827422314544563099704086903917217076099164097258557126e-20,5.9698785999826580006117875927609286473676104417581179402202176940e-19,0
1.08420217248550443400745280086994171142578125e-19,9.5680872470631145927340933809623377418909246473242293063774063942e-17,9.5680872470631145927340933809623377418909246473242293063774063942e-17,5.4240857409654844630011867239015520078746738363516039151799355976e-20,1.1939757199965316005113735309889145589295017680856064581232494785e-18,0
2.1684043449710088680149056017398834228515625e-19,1.9136174494126229186119272839471619012633740362386995625614512008e-16,1.9136174494126229186119272839471619012633740362386995625614512008e-16,1.0848171481930968926371469863646042524168787053507367134702104313e-19,2.3879514399930632025788111117247444367906010649131419489430164277e-18,0
4.336808689942017736029811203479766845703125e-19,3.8272348988252458374842889989131012141444398725590220594256386641e-16,3.8272348988252458374842889989131012141444398725590220594256386641e-16,2.1696342963861937854219325390663839082451473200447970858421987892e-19,4.7759028799861264113818784224371501581690227232419804597754293024e-18,0
8.67361737988403547205962240695953369140625e-19,7.6544697976504916760103157219013120753751299293342008899375071058e-16,7.6544697976504916760103157219013120753751299293342008899375071058e-16,4.3392685927723875714344193434814694304847675336361683049532353208e-19,9.5518057599722528476607816408249455255807716477305908089874868406e-18,0
1.73472347597680709441192448139190673828125e-18,1.5308939595300983356187582340103062744019124466650349144893125214e-15,1.5308939595300983356187582340103062744019124466650349144893125214e-15,8.6785371855447751452310557483577453197387326908448691297580074909e-19,1.9103611519944505794909662465452472455263998721118453399592705153e-17,0
3.4694469519536141888238489627838134765625e-18,3.0617879190601966729042968265407879900504618334167050149978854706e-15,3.0617879190601966729042968265407879900504618334167050149978854706e-15,1.7357074371089550299910979742294716496884704271069756320849690877e-18,3.8207223039889011988171721666115275063990224110232061138048147495e-17,0
6.938893903907228377647697925567626953125e-18,6.1235758381203933524757150871622777766002002023308009417443410848e-15,6.1235758381203933524757150871622777766002002023308009417443410848e-15,3.4714148742179100637617432466906336602041951260378690145942976671e-18,7.6414446079778025569753030273071907038248594615374068073434743397e-17,0
1.387778780781445675529539585113525390625e-17,1.2247151676240786731619915910647362991299336747857970833061593674e-14,1.2247151676240786731619915910647362991299336747857970833061593674e-14,6.9428297484358201426416756863080289066322770679466954835950077519e-18,1.5282889215955605751314440830950953208892369259383519875537142535e-16,0
2.77555756156289135105907917022705078125e-17,2.4494303352481573569913774766585957751809060478155923264346336390e-14,2.4494303352481573569913774766585957751809060478155923264346336390e-14,1.3885659496871640345756108144323105301479059227979548335797242851e-17,3.0565778431911214052084220767248425919838474090779931344270612783e-16,0
5.5511151231257827021181583404541015625e-17,4.8988606704963147566523321314336858714976801763308833389876582310e-14,4.8988606704963147566523321314336858714976801763308833389876582310e-14,2.7771318993743280933403243375474409702367801453122921422832529654e-17,6.1131556863822438301989797955884788224556964284159849691323536434e-16,0
1.1102230246251565404236316680908203125e-16,9.7977213409926296839829729753333619351525389772518323072247936795e-14,9.7977213409926296839829729753333619351525389772518323072247936795e-14,5.5542637987486562834370595098261688974787635925463901968394521993e-17,1.2226311372764491739526502159733618900195458350028922413987362494e-15,0
2.220446049250313080847263336181640625e-16,1.9595442681985260050679180800530787899843442867220054371940606868e-13,1.9595442681985260050679180800530787899843442867220054371940606868e-13,1.1108527597497312953899762358577544160908981217244928782279255594e-16,2.4452622745528999795567174593705776432183651098392854857537291719e-15,0
4.44089209850062616169452667236328125e-16,3.9190885363970522832211301000518658005117548700570048294363031522e-13,3.9190885363970522832211301000518658005117548700570048294363031522e-13,2.2217055194994627455902098072856382089068905159053315359616231022e-16,4.8905245491058064857191030284460856276790019327167970523406175157e-15,0
8.8817841970012523233890533447265625e-16,7.8381770727941056587834359598872253530175375794420700499960934952e-13,7.8381770727941056587834359598872253530175375794420700499960934952e-13,4.4434110389989261104214489568521685674702593987766837018118443850e-16,9.7810490982116390778608784957880117285285145594836664628086984231e-15,0
1.7763568394002504646778106689453125e-15,1.5676354145588215686931574958913712672585287749838340704197336288e-12,1.5676354145588215686931574958913712672585287749838340704197336288e-12,8.8868220779978546978070152828309028756152424885704879275495103674e-16,1.9562098196423382581412446747768338215350466026559230360179884157e-14,0
3.552713678800500929355621337890625e-15,3.1352708291176448851321962074426768879964235902761675699147673137e-12,3.1352708291176448851321962074426768879964235902761675699147673137e-12,1.7773644155995719303470500042192045850319861622880768536931787493e-15,3.9124196392847182865587652525177558388765887074047134054703118781e-14,0
7.10542735760100185871124267578125e-15,6.2705416582352967612479172775589277247845596454129176452679529617e-12,6.2705416582352967612479172775589277247845596454129176452679529617e-12,3.5547288311991478238366877990696869188121086425243297308775243547e-15,7.8248392785696036542226341207891628008922122787149143508460452420e-14,0
1.42108547152020037174224853515625e-14,1.2541083316470621486429934006082843523729959934673344265338190693e-11,1.2541083316470621486429934006082843523729959934673344265338190693e-11,7.1094576623983115002437267608179385055158503031028028715069108238e-15,1.5649678557139875632865682735771316813646377946686345837516361150e-13,0
2.8421709430404007434844970703125e-14,2.5082166632941354828596265818191177576055278406258166296372754181e-11,2.5082166632941354828596265818191177576055278406258166296372754181e-11,1.4218915324796686410768858173577765065790974153207577265517434343e-14,3.1299357114282424563413023697741692229209338349274039118930845981e-13,0
5.684341886080801486968994140625e-14,5.0164333265883157080138122877808623122109073632813942553305622917e-11,5.0164333265883157080138122877808623122109073632813942553305622917e-11,2.8437830649593626462663334964744117416161606367808357456522461971e-14,6.2598714228575542317552682295696368902191276589935648234057574069e-13,0
1.136868377216160297393798828125e-13,1.0032866653176810385205861085991676496916671561571454253878163232e-10,1.0032866653176810385205861085991676496916671561571454253878163232e-10,5.6875661299188267489829144478410864494992469169906203253277569340e-14,1.2519742845719385739801192015557867587402101531616010839394264681e-12,0
2.27373675443232059478759765625e-13,2.0065733306354336647124668324578717959804914818586757256796754300e-10,2.0065733306354336647124668324578717959804914818586757256796754300e-10,1.1375132259838059323766818778105849183562876881285009782764599943e-13,2.5039485691455880584765019027457310647414681219914215239088655911e-12,0
4.5474735088646411895751953125e-13,4.0131466612711536801101122146543355591889967266898085446166685643e-10,4.0131466612711536801101122146543355591889967266898085446166685643e-10,2.2750264519677741950737597588743398861615627702323177690570683471e-13,5.0078971382980197590180680205618525289178313413299213399256919387e-12,0
9.094947017729282379150390625e-13,8.0262933225434527629609393378666068347358427911108576446609961127e-10,8.0262933225434527629609393378666068347358427911108576446609961127e-10,4.5500529039361977114291039330309562555191852557317787101252812430e-13,1.0015794276623414086296474633675348572086940837120149179535002501e-11,0
1.818989403545856475830078125e-12,1.6052586645091487136884743986793499326160854939622089743038254995e-9,1.6052586645091487136884743986793499326160854939622089743038254995e-9,9.1001058078749927079845487453477887336512783104433615323346116753e-13,2.0031588553356326445634957495717930267449649835496709562191576370e-11,0
