# zero shifted mathieu eigen value precision_digits=64 n=58
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,9.1208515820127274647903008254944281380298312130853566860555195518e-17,9.1208515820127274647903008254944281380298312130853566860555195518e-17,2.7113114096351746328151904950934685309244444747578349245111532556e-20,8.1363528831514071976719401974819796122716440735551918257917980078e-19,0
1.08420217248550443400745280086994171142578125e-19,1.8241703164025454929890308875522922338675102185441701475752407739e-16,1.8241703164025454929890308875522922338675102185441701475752407739e-16,5.4226228192703492657224461580032468307595428613084724957646871994e-20,1.6272705766302814402399719374714011037312970191928029056613365894e-18,0
2.1684043449710088680149056017398834228515625e-19,3.6483406328050909861019446649182108927994154725926720080013112839e-16,3.6483406328050909861019446649182108927994154725926720080013112839e-16,1.0845245638540698531813152987271732737215860501167277074914718442e-19,3.2545411532605628833022794668428229351804804758788333673805314824e-18,0
4.336808689942017736029811203479766845703125e-19,7.2966812656101819726994208890909274860021641415701626386312712538e-16,7.2966812656101819726994208890909274860021641415701626386312712538e-16,2.1690491277081397065099348659604421777652093167568854454908654143e-19,6.5090823065211257778939013012857288021126156582599321474104833485e-18,0
8.67361737988403547205962240695953369140625e-19,1.4593362531220363947380968015199877774783685503619533938716918943e-15,1.4593362531220363947380968015199877774783685503619533938716918943e-15,4.3380982554162794136090868059452668771651859404338685905817238239e-19,1.3018164613042251600945172072971789498272721794763768029568695247e-17,0
1.73472347597680709441192448139190673828125e-18,2.9186725062440727902690440978471846770012995368675375908963897309e-15,2.9186725062440727902690440978471846770012995368675375908963897309e-15,8.6761965108325588295750419079880638436423886351591486055183999134e-19,2.6036329226084503382519822027544907909062378720381896900227075333e-17,0
3.4694469519536141888238489627838134765625e-18,5.8373450124881455837094901749232058496434052019251771320857264060e-15,5.8373450124881455837094901749232058496434052019251771320857264060e-15,1.7352393021665117668577557000366248066716424500372108002632956023e-18,5.2072658452169007487557555581495142158808283707211352043977367352e-17,0
6.938893903907228377647697925567626953125e-18,1.1674690024976291180104588266761757741550485985535392432564709719e-14,1.1674690024976291180104588266761757741550485985535392432564709719e-14,3.4704786043330235374865006738292977828628079624064781309645391555e-18,1.0414531690433801786518675726861167520527695842445621869335241595e-16,0
1.387778780781445675529539585113525390625e-17,2.3349380049952582410951608201184900129759282849207987928859539712e-14,2.3349380049952582410951608201184900129759282849207987928859539712e-14,6.9409572086660470900569584426827883857786215366254423094112781547e-18,2.0829063380867604729066009895970959816060576844303055042655800607e-16,0
2.77555756156289135105907917022705078125e-17,4.6698760099905165024872943073015342666980677622141310472061735423e-14,4.6698760099905165024872943073015342666980677622141310472061735423e-14,1.3881914417332094240449745265462349187568572420374943659947008152e-17,4.1658126761735214082246653560936966091670124369501081504381123372e-16,0
5.5511151231257827021181583404541015625e-17,9.3397520199810330861624792828612885530440750228598046087518433663e-14,9.3397520199810330861624792828612885530440750228598046087518433663e-14,2.7763828834664188722242804051311797125576917428239609419595253764e-17,8.3316253523470446660951842197858496897761971809531578446359045691e-16,0
1.1102230246251565404236316680908203125e-16,1.8679504039962066497076521238755481637984665870980101120716246315e-13,1.8679504039962066497076521238755481637984665870980101120716246315e-13,5.5527657669328378409858862184172061944068566798395068729834263718e-17,1.6663250704694096730773782469969028366301755869226057891433802214e-15,0
2.220446049250313080847263336181640625e-16,3.7359008079924134293159293169642777029993457695325584573680980942e-13,3.7359008079924134293159293169642777029993457695325584573680980942e-13,1.1105531533865676068121074069453857618904119410025441312033585298e-16,3.3326501409388223055881221061555397487446336025368528297594668693e-15,0
4.44089209850062616169452667236328125e-16,7.4718016159848273782343589107814374087587920423481455472528384972e-13,7.4718016159848273782343589107814374087587920423481455472528384972e-13,2.2211063067731353680839354669385961381565969210309588428218901597e-16,6.6653002818776564489097066609804356457026995655880424128217435008e-15,0
8.8817841970012523233890533447265625e-16,1.4943603231969656834878718928975654837761587074573714007088575653e-12,1.4943603231969656834878718928975654837761587074573714007088575653e-12,4.4422126135462713540067535460688629125331709496354678974698500753e-16,1.3330600563755360248753263116817654654469550373420674338932017617e-14,0
1.7763568394002504646778106689453125e-15,2.9887206463939321983397442287612445830127993942624431293893089435e-12,2.9887206463939321983397442287612445830127993942624431293893089435e-12,8.8844252270925451793690375409073857996813299472724230956876009022e-16,2.6661201127510909901241925414497312922879090264598743064204839743e-14,0
3.552713678800500929355621337890625e-15,5.9774412927878677221354902293949564867705730050972881849785648873e-12,5.9774412927878677221354902293949564867705730050972881849785648873e-12,1.7768850454185100244160196876917230935703249123356980335845912269e-15,5.3322402255022577417425447563921601594985377346956895662460539961e-14,0
7.10542735760100185871124267578125e-15,1.1954882585575748746094987546343885127745413782061009962168290854e-11,1.1954882585575748746094987546343885127745413782061009962168290854e-11,3.5537700908370240030008880934434854719813952978778269804305264131e-15,1.0664480451004818529461728215938279653462004964275074660895164615e-13,0
1.42108547152020037174224853515625e-14,2.3909765171151550699486003443416481842102874090186696959084925678e-11,2.3909765171151550699486003443416481842102874090186696959084925678e-11,7.1075401816740638226771710592795724857618531778200644943772073955e-15,2.1328960902010849242830011317957748922980290376661443350086654943e-13,0
2.8421709430404007434844970703125e-14,4.7819530342303314228156120293850393789013868897173012455570014002e-11,4.7819530342303314228156120293850393789013868897173012455570014002e-11,1.4215080363348190912055921609349106358208641170384367555163500001e-14,4.2657921804026547221286242767963074535824703515773096156816173096e-13,0
5.684341886080801486968994140625e-14,9.5639060684607479773048694248591178064141795221861687558789973785e-11,9.5639060684607479773048694248591178064141795221861687558789973785e-11,2.8430160726696634890918161191614500019067121052872083103088577225e-14,8.5315843608072489385077370765899001637281925383674525566864404112e-13,0
