# zero shifted mathieu eigen value precision_digits=64 n=56
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,8.5028564023126024038354199279062300940444556963562081030440306517e-17,8.5028564023126024038354199279062300940444556963562081030440306517e-17,2.7113700262476410726516007423170376575396861276646071757155709986e-20,7.8654812015012909030504306643682292757422103020060803506151020396e-19,0
1.08420217248550443400745280086994171142578125e-19,1.7005712804625204807959608674393280374212524514807629151188453760e-16,1.7005712804625204807959608674393280374212524514807629151188453760e-16,5.4227400524952821453952833783141837927973611335483511323942773469e-20,1.5730962403002581812709535733080012479881825418118989518313860002e-18,0
2.1684043449710088680149056017398834228515625e-19,3.4011425609250409617074292623109841493089434382331168028861562851e-16,3.4011425609250409617074292623109841493089434382331168028861562851e-16,1.0845480104990564291158894331348801496520865555590295927570651419e-19,3.1461924806005163651853769083534240697092417846155473608106595143e-18,0
4.336808689942017736029811203479766845703125e-19,6.8022851218500819238768886343512805966195873090206438532989696490e-16,6.8022851218500819238768886343512805966195873090206438532989696490e-16,2.1690960209981128583791098961579338637179806470091338817917632809e-19,6.2923849612010327409446328636565344533413085759902360246423772558e-18,0
8.67361737988403547205962240695953369140625e-19,1.3604570243700163849601897707619810386333546680003299553228151832e-15,1.3604570243700163849601897707619810386333546680003299553228151832e-15,4.3381920419962257173475439118685619854379932015316643983508137220e-19,1.2584769922402065524184781915111814314304462801354185567430764959e-17,0
1.73472347597680709441192448139190673828125e-18,2.7209140487400327706596277170908617553745144261809613362145421992e-15,2.7209140487400327706596277170908617553745144261809613362145421992e-15,8.6763840839924514370523843019479010056585281447096981384392289516e-19,2.5169539844804131217551628581418611474540673178900419825951186719e-17,0
3.4694469519536141888238489627838134765625e-18,5.4418280974800655442762481364493222301406993362471018972066973762e-15,5.4418280974800655442762481364493222301406993362471018972066973762e-15,1.7352768167984902883533954516738910172642536148747136151807070715e-18,5.0339079689608263111831516167617164056363256492146722084488236090e-17,0
6.938893903907228377647697925567626953125e-18,1.0883656194960131100380467081969039393531681593346709308217189344e-14,1.0883656194960131100380467081969039393531681593346709308217189344e-14,3.4705536335969805804784652684850253168149494876743333253243588470e-18,1.0067815937921652893057606835435417033029351215830056676805485171e-16,0
1.387778780781445675529539585113525390625e-17,2.1767312389920262248072817400219658965533302752597756544038178621e-14,2.1767312389920262248072817400219658965533302752597756544038178621e-14,6.9411072671939611760436279975190239048256705205987744081754396114e-18,2.0135631875843306868880428078518833183836989010565183124897537864e-16,0
2.77555756156289135105907917022705078125e-17,4.3534624779840524685393167745565642208696826828767503055070611435e-14,4.3534624779840524685393167745565642208696826828767503055070611435e-14,1.3882214534387922412434045837233942030834447330601882351744455177e-17,4.0271263751686618068821713787630160684799019611221954174859432575e-16,0
5.5511151231257827021181583404541015625e-17,8.7069249559681050127776467271636610037918243431461852470271986255e-14,8.7069249559681050127776467271636610037918243431461852470271986255e-14,2.7764429068775845066255251043251470037601480686052886629551016025e-17,8.0542527503373253461886858097634281406193367779437418556142764322e-16,0
1.1102230246251565404236316680908203125e-16,1.7413849911936210328351346166529475063796448179577066935063797379e-13,1.7413849911936210328351346166529475063796448179577066935063797379e-13,5.5528858137551691098059139561637356708534592409365647114361598787e-17,1.6108505500674657622074743828479626510352934737357315057646134838e-15,0
2.220446049250313080847263336181640625e-16,3.4827699823872421867886903181867744816467803002050162061567513223e-13,3.4827699823872421867886903181867744816467803002050162061567513223e-13,1.1105771627510338605831282902381296178720600447082322085959028451e-16,3.2217011001349342962938976492795823652971952291904580954384311301e-15,0
4.44089209850062616169452667236328125e-16,6.9655399647744848580510649758972128100624901934471644336042200414e-13,6.9655399647744848580510649758972128100624901934471644336042200414e-13,2.2211543255020678756540385764978357174944165157675906994911415949e-16,6.4434022002698796801035908329141847561480540933953286374711617309e-15,0
8.8817841970012523233890533447265625e-16,1.3931079929548971653996867309890248776952434247239451754775641670e-12,1.3931079929548971653996867309890248776952434247239451754775641670e-12,4.4423086510041363692592051370823497375486078594513557891503959408e-16,1.2886804400539803710270363803411583795688607353394671920502944853e-14,0
1.7763568394002504646778106689453125e-15,2.7862159859097951059572684052173132339228567860101414994036104125e-12,2.7862159859097951059572684052173132339228567860101414994036104125e-12,8.8846173020082752103229222105143916898050280166139716179962066725e-16,2.5773608801079784820793456158461098174369977368598848841149429032e-14,0
3.552713678800500929355621337890625e-15,5.5724319718195933125461165833991541083863004875337219639442873483e-12,5.5724319718195933125461165833991541083863004875337219639442873483e-12,1.7769234604016560307863892166451384274191009207696817487067242820e-15,5.1547217602160279242597826533914506276093277075943729738834196161e-14,0
