# zero shifted mathieu eigen value precision_digits=64 n=61
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.0088501943608111020374327034812858196464966262839941035818110073e-16,1.0088501943608111020374327034812858196464966262839941035818110073e-16,2.7112340617060228487971854433788922860695958782155176124208841905e-20,8.5426830974100940129200044330187624107711309355337001167016128932e-19,0
1.08420217248550443400745280086994171142578125e-19,2.0177003887216222041091146451281171205692823818283809196995869295e-16,2.0177003887216222041091146451281171205692823818283809196995869295e-16,5.4224681234120456976864139885195300203420649874452591230840820465e-20,1.7085366194820188033594155012422812019676978353824121568043501634e-18,0
2.1684043449710088680149056017398834228515625e-19,4.0354007774432444083552262429184161662638598378537677862988271827e-16,4.0354007774432444083552262429184161662638598378537677862988271827e-16,1.0844936246824091395741000384086041833549744256527191040846082189e-19,3.4170732389640376098204894610386772861821594355997010497798726576e-18,0
4.336808689942017736029811203479766845703125e-19,8.0708015548864888172584402964855600331900084297390401343211181932e-16,8.0708015548864888172584402964855600331900084297390401343211181932e-16,2.1689872493648182792954690396360010838994916500239290874284112317e-19,6.8341464779280752320476127562938141252943913043964147057627257112e-18,0
8.67361737988403547205962240695953369140625e-19,1.6141603109772977636708831835566030870318039533551944709790915480e-15,1.6141603109772977636708831835566030870318039533551944709790915480e-15,4.3379744987296365591800139305471730369035311834323957833353709971e-19,1.3668292955856150513721760849453466653853211332440925816448423786e-17,0
1.73472347597680709441192448139190673828125e-18,3.2283206219545955282185468641511704966699111026982116758311449914e-15,3.2283206219545955282185468641511704966699111026982116758311449914e-15,8.6759489974592731207163312661950295529962674084875347375198736668e-19,2.7336585911712301225949663046370288453117249486354616100912698429e-17,0
3.4694469519536141888238489627838134765625e-18,6.4566412439091910599442157164541982920137880002139299786161593296e-15,6.4566412439091910599442157164541982920137880002139299786161593296e-15,1.7351897994918546250857876152792793044917463048142784140328297043e-18,5.4673171823424603245923891482594009746702701673643496979449374221e-17,0
6.938893903907228377647697925567626953125e-18,1.2913282487818382133916919385515825844713463266627612511209565424e-14,1.2913282487818382133916919385515825844713463266627612511209565424e-14,3.4703795989837092539416606787196522022879503538370364179547340565e-18,1.0934634364684920966794604452460184892587737747137252621738137262e-16,0
1.387778780781445675529539585113525390625e-17,2.5826564975636764323947790581461369260090668293492051839071797012e-14,2.5826564975636764323947790581461369260090668293492051839071797012e-14,6.9407591979674185229636631500836789196696232984391431978155864048e-18,2.1869268729369843204028513528685980014643595800192005310862093204e-16,0
