# zero shifted mathieu eigen value precision_digits=64 n=63
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.0760707245009718003110102055782126605151066362840008144788505282e-16,1.0760707245009718003110102055782126605151066362840008144788505282e-16,2.7111885223002564885638957056644309914716720490904530473138083350e-20,8.8135833029943506869603268983828491495424824651070672275218161285e-19,0
1.08420217248550443400745280086994171142578125e-19,2.1521414490019436006585471628565807513931903808257077759434375041e-16,2.1521414490019436006585471628565807513931903808257077759434375041e-16,5.4223770446005129772198215239520805023763929977971977222056878411e-20,1.7627166605988701382158710836392089283354059436829957217442550141e-18,0
2.1684043449710088680149056017398834228515625e-19,4.3042828980038872014632013325137832242597611396026623084878800139e-16,4.3042828980038872014632013325137832242597611396026623084878800139e-16,1.0844754089201025954807763498397035082539080724622479991151121224e-19,3.5254333211977402797269649831289742536464095490191939059012102042e-18,0
4.336808689942017736029811203479766845703125e-19,8.6085657960077744035108306922300533345848193503736889927279163454e-16,8.6085657960077744035108306922300533345848193503736889927279163454e-16,2.1689508178402051911088008798765566476656133409860642460891701551e-19,7.0508666423954805726348212296601741213388886167061845692385222690e-18,0
8.67361737988403547205962240695953369140625e-19,1.7217131592015548809359373493270054214805031460327854284588149575e-15,1.7217131592015548809359373493270054214805031460327854284588149575e-15,4.3379016356804103828065944805417118203086499018210769172557696082e-19,1.4101733284790961197993207512929250908011486284523452201067652887e-17,0
1.73472347597680709441192448139190673828125e-18,3.4434263184031097628069595421779898623145269758233764156112719643e-15,3.4434263184031097628069595421779898623145269758233764156112719643e-15,8.6758032713608207679691598442378177432968681678593510093506474283e-19,2.8203466569581922606880675240294114150553256585010417244288012831e-17,0
3.4694469519536141888238489627838134765625e-18,6.8868526368062195293542584584518958108380453260828954125910265645e-15,6.8868526368062195293542584584518958108380453260828954125910265645e-15,1.7351606542721641545362203221093211919471013671158718600632468038e-18,5.6406933139163846057338391338330691024791231726028527855839705882e-17,0
6.938893903907228377647697925567626953125e-18,1.3773705273612439073669874413287456036871325265149724471698372371e-14,1.3773705273612439073669874413287456036871325265149724471698372371e-14,3.4703213085443283128419940572656729747723167712647327971021346361e-18,1.1281386627832769548898494610763134002882999761332012139924755131e-16,0
1.387778780781445675529539585113525390625e-17,2.7547410547224878207185178812109570297397741904150098870458302305e-14,2.7547410547224878207185178812109570297397741904150098870458302305e-14,6.9406426170886566407622017667194684548747145135172836660262792403e-18,2.2562773255665540447520254593914336865071941136960134296552465471e-16,0
