# zero shifted mathieu eigen value precision_digits=64 n=23
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,1.4365730120763070375108523766464401195064646969529459223338572204e-17,1.4365730120763070375108523766464401195064646969529459223338572204e-17,2.7156389642274235113626698991426089215623151171133193238825278269e-20,3.4009777748018632523014714517304249242903468577207995509072162489e-19,0
1.08420217248550443400745280086994171142578125e-19,2.8731460241526140750710648167349521592135697580866680106296404752e-17,2.8731460241526140750710648167349521592135697580866680106296404752e-17,5.4312779284548470228186480467579435901957840417517353698102844522e-20,6.8019555496037265059569637192067178822008171746266453385381448160e-19,0
2.1684043449710088680149056017398834228515625e-19,5.7462920483052281503395698872381919992594924071167693401536325132e-17,5.7462920483052281503395698872381919992594924071167693401536325132e-17,1.0862555856909694046010529087406790168732499824417333346226148418e-19,1.3603911099207453017330010701396907901409250238821162997480437158e-18,0
4.336808689942017736029811203479766845703125e-19,1.1492584096610456301468900789549534722086727851769901196378958971e-16,1.1492584096610456301468900789549534722086727851769901196378958971e-16,2.1725111713819388093513990150377192291279258698997922866500867620e-19,2.7207822198414906056324354454727704371065940458535314283992052750e-18,0
8.67361737988403547205962240695953369140625e-19,2.2985168193220912606096845639391672340351079643786286382936727905e-16,2.2985168193220912606096845639391672340351079643786286382936727905e-16,4.3450223427638776192999708203008832401419810290711316413869050859e-19,5.4415644396829812199306041117190963176857452221614574092868762825e-18,0
1.73472347597680709441192448139190673828125e-18,4.5970336386441825224829867519953756280665869369366780164728691324e-16,4.5970336386441825224829867519953756280665869369366780164728691324e-16,8.6900446855277552409886328015035456107118845688784083487199794563e-19,1.0883128879365962474524141106532414538650368070918087418644749459e-17,0
3.4694469519536141888238489627838134765625e-18,9.1940672772883650500204440004589159083212293632376561926057845000e-16,9.1940672772883650500204440004589159083212293632376561926057845000e-16,1.7380089371055510491532030246614207766202702009901051403791653119e-18,2.1766257758731925087700013745441717725525439486437628280257423702e-17,0
6.938893903907228377647697925567626953125e-18,1.8388134554576730120258769986790490523015252337105451418490658152e-15,1.8388134554576730120258769986790490523015252337105451418490658152e-15,3.4760178742111021021283119067656881896059078141976278673895384031e-18,4.3532515517463850730006953620390998324823235057047301421807892113e-17,0
1.387778780781445675529539585113525390625e-17,3.6776269109153460321389067917071616652486252342114978826333514228e-15,3.6776269109153460321389067917071616652486252342114978826333514228e-15,6.9520357484222042195442472433027630723036393841427181146188117634e-18,8.7065031034927703678441611758812314391724236096914658971356294498e-17,0
2.77555756156289135105907917022705078125e-17,7.3552538218306920966264247608105781978512081158914623645956272659e-15,7.3552538218306920966264247608105781978512081158914623645956272659e-15,1.3904071496844408500238988205691074098017406646297660424566403149e-17,1.7413006206985541623059404158974642972766626929419700338938235077e-16,0
5.5511151231257827021181583404541015625e-17,1.4710507643661384322647294231206180863291515464111805852801269404e-14,1.4710507643661384322647294231206180863291515464111805852801269404e-14,2.7808142993688817245079951287724349458017987644823829589416388288e-17,3.4826012413971086795603135546798430303945759234308359565368262127e-16,0
1.1102230246251565404236316680908203125e-16,2.9421015287322769162872367300752499582325576997184455571836418778e-14,2.9421015287322769162872367300752499582325576997184455571836418778e-14,5.5616285987377635468567802080817579550709975420008422631070734931e-17,6.9652024827942187789143580008996829887344632253898287715418161992e-16,0
2.220446049250313080847263336181640625e-16,5.8842030574645540396055849954865870470710531387458066565987448513e-14,5.8842030574645540396055849954865870470710531387458066565987448513e-14,1.1123257197475527485076720218311128633404637313319105210961710494e-16,1.3930404965588443237003639567962067165892645792945919987325258775e-15,0
4.44089209850062616169452667236328125e-16,1.1768406114929108907335616132317778523037211728657059420872250616e-13,1.1768406114929108907335616132317778523037211728657059420872250616e-13,2.2246514394951056535606079645213191915004180961544535767244330086e-16,2.7860809931176909190706973400596646898619959600250747156127140725e-15,0
8.8817841970012523233890533447265625e-16,2.3536812229858221127169016830016022013425681215544734347965178721e-13,2.3536812229858221127169016830016022013425681215544734347965178721e-13,4.4493028789902119333022716124793992463942686607835036574603362422e-16,5.5721619862353909248212723860057006569696916763724419419175942049e-15,0
1.7763568394002504646778106689453125e-15,4.7073624459716455504329171921570281910423081126651532373471056135e-13,4.7073624459716455504329171921570281910423081126651532373471056135e-13,8.8986057579804263713287659587089379792860266780059607511287440709e-16,1.1144323972470818196362055595695816427016843327042190463312887268e-14,0
3.552713678800500929355621337890625e-15,9.4147248919432964008622896889424539468466538882091381454130467219e-13,9.4147248919432964008622896889424539468466538882091381454130467219e-13,1.7797211515960862761554422852443202167952086745196858497945267905e-15,2.2288647944941781779602154487240733339100822853391490448627660223e-14,0
7.10542735760100185871124267578125e-15,1.8829449783886614001710400596503317443408260777842850612550001776e-12,1.8829449783886614001710400596503317443408260777842850612550001776e-12,3.5594423031921765598696409445185855280544916404239793218431005248e-15,4.4577295889884145106716482166769388880528700281799139186881672868e-14,0
1.42108547152020037174224853515625e-14,3.7658899567773312803364086068318827411010766323493148282737345600e-12,3.7658899567773312803364086068318827411010766323493148282737345600e-12,7.1188846063843691499743073853154683196617705715487992973038460491e-15,8.9154591779770616403481657173822628666835926859479146317511027684e-14,0
2.8421709430404007434844970703125e-14,7.5317799135546964806501311644594859521474197220451981530913744050e-12,7.5317799135546964806501311644594859521474197220451981530913744050e-12,1.4237769212768802420888716757012260779106653538837803692044186021e-14,1.7830918355955053756715808627783795772858409924524321569023223719e-13,0
5.684341886080801486968994140625e-14,1.5063559827109528641209518137468601466216811123845705421656281319e-11,1.5063559827109528641209518137468601466216811123845705421656281319e-11,2.8475538425537861325537841469694898801922138230332146354737771870e-14,3.5661836711913829417509526482890509121177312535742297354716311142e-13,0
1.136868377216160297393798828125e-13,3.0127119654219600002056059552069702637254474946950013195577874097e-11,3.0127119654219600002056059552069702637254474946950013195577874097e-11,5.6951076851076748586117314843231952055301464928071858592774809257e-14,7.1323673423842546451330693517039387885074666859225304600488008232e-13,0
2.27373675443232059478759765625e-13,6.0254239308441370882660212556141255750947595369394752420889403677e-11,6.0254239308441370882660212556141255750947595369394752420889403677e-11,1.1390215370215760091240115795111768572957957536747590249695539447e-13,1.4264734684774464336790797837484584908266711290160734735926936785e-12,0
4.5474735088646411895751953125e-13,1.2050847861689142527951280166806472666635575945343419155003478761e-10,1.2050847861689142527951280166806472666635575945343419155003478761e-10,2.2780430740433161678546843415513180844301655851310811257095422989e-13,2.8529469369572748859680255519862874958231493806507035660229913689e-12,0
9.094947017729282379150390625e-13,2.4101695723381758461579513154145682008362743842653794977296966563e-10,2.4101695723381758461579513154145682008362743842653794977296966563e-10,4.5560861480872889341360138287609984892935243558891861960863830932e-13,5.7058938739240778463755336887995577390876867776575496632800111944e-12,0
1.818989403545856475830078125e-12,4.8203391446777410545866855176181115629031971477775575551286145422e-10,4.8203391446777410545866855176181115629031971477775575551286145422e-10,9.1121722961772042619786115644954849960362895043054018055361333501e-13,1.1411787747886267990509146891863052592588471966899820108909899157e-11,0
3.63797880709171295166015625e-12,9.6406782893610395582565166509991677602510010097199084364288387553e-10,9.6406782893610395582565166509991677602510010097199084364288387553e-10,1.8224344592364914098783585351605232060965975443704930881718031674e-12,2.2823575495924985172051805240429912216814030652118104995338108576e-11,0
7.2759576141834259033203125e-12,1.9281356578744308912845728313906466933975261016150279811833069390e-9,1.9281356578744308912845728313906466933975261016150279811833069390e-9,3.6448689184771850496872832351429994204112024605199016657529431739e-12,4.5647150992459767108247203504859674380923112061199817291720301414e-11,0
1.4551915228366851806640625e-11,3.8562713157577537011023137066296297879701840483110945230579949822e-9,3.8562713157577537011023137066296297879701840483110945230579949822e-9,7.2897378369711790190970013357837992211156598266750369055916729342e-12,9.1294301987358721273145156683198174778906686015151901079783831493e-11,0
