# zero shifted mathieu eigen value precision_digits=64 n=3
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,2.7443867505416320984690483701572955834427705768841834764679718065e-19,2.7443867476662340989384603396781450932467554896036918895371560247e-19,3.0493186101154812207819492832419114870497367036043752033361821285e-20,8.5762085909497909345189632487193516982991060658143186967087747449e-20,0
1.08420217248550443400745280086994171142578125e-19,5.4887735022742930458089115984156830443210469324500388588480160600e-19,5.4887734941414393494956636321179198336880576397918605478658172216e-19,6.0986372202309624418358751280742238211161692068010552259521296009e-20,1.7152417181899581871942322356114657060659923453783531566588605319e-19,0
2.1684043449710088680149056017398834228515625e-19,1.0977547007917324394406042971216446323247487547988045128928831470e-18,1.0977546984914140398161338733301645527913144128802736041146895665e-18,1.2197274440461924884759656502510051028422573153772656205597626186e-19,3.4304834363799163755502228146933128771591766929187930505357745036e-19,0
4.336808689942017736029811203479766845703125e-19,2.1955094025362879581736836039871144933044019578527737920904927536e-18,2.1955093960300050011230852342968583122824636106220855131942226792e-18,2.4394548880923849773870937990466515586593697602638107251581752404e-19,6.8609668727598327557474790032681516096471811808869655949061938982e-19,0
8.67361737988403547205962240695953369140625e-19,4.3910188077675665593612355187411569816471186247942953398604133483e-18,4.3910187893650193623654721473482063493277312061735166221635949608e-18,4.8789097761847699565148375922718685172082499060932288677911157273e-19,1.3721933745519665530083091502062406602370151833179709546696532668e-18,0
1.73472347597680709441192448139190673828125e-18,8.7820376231577177561954410703259532084422381295052049200140616566e-18,8.7820375711074540997906542199384441597692304009130415407591433627e-18,9.7578195523695399199922751612579985378952602946768035893184472330e-19,2.7443867491039331134518716986229226431127287881648615922832027348e-18,0
3.4694469519536141888238489627838134765625e-18,1.7564075267875360669034508388985300555072333724516238375220125476e-17,1.7564075120654983093068402023886175622856031549532747338826055429e-17,1.9515639104739079867834950229373042321071314041138325396692322725e-18,5.4887734982078662566447569900876103320473123261782691971244723935e-18,0
6.938893903907228377647697925567626953125e-18,3.5128150596731398487983495764954223329424661594413033565668765546e-17,3.5128150180329289236745204390159443724120603720791083770718629711e-17,3.9031278209478159847071500086174259474191814064002287409104108476e-18,1.0977546996415732632253568351542278889518532161613669638910287042e-17,0
1.387778780781445675529539585113525390625e-17,7.0256301365942198429638874577539869883033881945612800004199182555e-17,7.0256300188179177821910043050170234468145363067271873384184331770e-17,7.8062556418956320139749398682061169083988469451602596326879730180e-18,2.1955093992831465740363354188552775017824602439159584982606021240e-17,0
2.77555756156289135105907917022705078125e-17,1.4051260321972981486068506290896972452862894299017000933355620035e-16,1.4051259988851294085077884161638085677676100707795924778205028661e-16,1.5612511283791264206192439140297254516966108337118292061978138164e-17,4.3910187985662933384151578318978293687534621973280209324794162775e-17,0
5.5511151231257827021181583404541015625e-17,2.8102520781929484455911105887991320999221808631083265924859875723e-16,2.8102519839719067969728102725050377604410047409512777722082204065e-16,3.1225022567582529125355115896134277002017697800331135359412266549e-17,8.7820375971325874382002636405446559556493029376297680112554765492e-17,0
1.1102230246251565404236316680908203125e-16,5.6205041954135304596294377016787153049920483893535342860784377132e-16,5.6205039289161805388369751041178039938288948376753797349244482760e-16,6.2450045135165061102591182254425107215671906816827300116682699940e-17,1.7564075194265177921880319188084498842973813687127566549192384785e-16,0
2.220446049250313080847263336181640625e-16,1.1241008501213878619616656943019818477836544858823170502350434194e-15,1.1241007747445545430670453001322311560767834537456840826133000341e-15,1.2490009027033013361270616635745627799224655220155561849157463631e-16,3.5128150388530368025679806004143329885494007742450546285621164008e-16,0
4.44089209850062616169452667236328125e-16,2.2482017314648827840164967306530280935377807794900473569531472479e-15,2.2482015182670028473826389913121329934354561724980537646792745790e-15,2.4980018054066031285550754010917561594295760844378339564624565705e-16,7.0256300777060784779036282520132664351937929938481610741102488400e-16,0
8.8817841970012523233890533447265625e-16,4.4964035512392205496607270229776315453179330678376798855159266810e-15,4.4964029482245539985043993533164189685768963350372956375108021829e-15,4.9960036108132080823139590979411391743860163349305419572370715911e-16,1.4051260155412176446877924708723875328979066177787680595823298106e-15,0
1.7763568394002504646778106689453125e-15,8.9928073522553008654324697789668965000910398442513477006935292689e-15,8.9928056466722613723652027028904220710033312804498957167470749523e-15,9.9920072216264234654431513788096214283857617359451352319114467896e-16,2.8102520310824430858038522235908645502016168769534945906169912336e-15,0
3.552713678800500929355621337890625e-15,1.7985615410986254725347654879149133335885672046847727375105971615e-14,1.7985610586868922316117369000156807447612252618700345431134441940e-14,1.9984014443252876134147235488503300435276624814193373781244674197e-15,5.6205040621649173573207735743033070457801414572796501853096841542e-15,0
7.10542735760100185871124267578125e-15,3.5971232820187440145415932590441197116507461321505347279487149984e-14,3.5971219175523124200992830818651366760447951652749633581139398155e-14,3.9968028886505869081338201893940313264975229430141656033681415633e-15,1.1241008124329959457493823654990685935097468668976663397612113727e-14,0
1.42108547152020037174224853515625e-14,7.1942471292180314509961970525727100736202711746292168249994317656e-14,7.1942432699241655236770418799304498215331742297115617072250102411e-14,7.9936057773012205414851327402795332750852474468559880734580233371e-15,2.2482016248660417886396753318699739740580277300894164051481627496e-14,0
2.8421709430404007434844970703125e-14,1.4388495857008091563041396365642731377566937152913761663681267479e-13,1.4388484941276638807871026426041170458022026421377793937563515353e-13,1.5987211554602627983840234884268834353104979763495308667358212684e-14,4.4964032497322831658429930537729594932597208701444888272920209194e-14,0
5.684341886080801486968994140625e-14,2.8776996235460866922279756542538388331053761055639695107002003749e-13,2.8776965361109939505808868139051692051182592734044500093205321274e-13,3.1974423109206003571160347045327822434575752105380108444559625013e-14,8.9928064994653646859405555600432803430143686756215816262957995990e-14,0
1.136868377216160297393798828125e-13,5.7554005259499308815407876557202850074905070878354355519907096345e-13,5.7553917933647686785824484330962005774349041613973568531553773726e-13,6.3948846218414997556240200493424919916252284717959957806367150039e-14,1.7985612998933922788899388068998527519435045810820091900887332601e-13,0
2.27373675443232059478759765625e-13,1.1510804669056147072390847043803026423609259505223068135454503837e-12,1.1510779969575405145877665849500293374362865588097768309557742755e-12,1.2789769243684195676815840496279622109984513940733798025006803662e-13,3.5971225997880619245871877045025093632939784877709904257166573896e-13,0
4.5474735088646411895751953125e-13,2.3021619568976507207298627972919221933003115796404598254278373389e-12,2.3021549708295209621326529521780576957425581020295311362612253676e-12,2.5579538487373176015902865274833221605793720453722172009383681703e-13,7.1942451995812333164036102609203711742220476870533270035451858645e-13,0
9.094947017729282379150390625e-13,4.6043268075211909212237548613817989960857108133946588844426662461e-12,4.6043070479365974013365043971248363707200941437971425257552306681e-12,5.1159076974765490680890329213925752037810027539954452278877205079e-13,1.4388490399182904501724115842335248245440499491121586768486721711e-12,0
1.818989403545856475830078125e-12,9.2086617997371972103080699354880984447128454414990435405171608220e-12,9.2086059111921592621531602304271703364196894470144771576028950445e-12,1.0231815394960753595811794536619593767295852715840844832288919926e-12,2.8776980798447560479115460269313289353112289601136861228620363307e-12,0
3.63797880709171295166015625e-12,1.8417346749295289865518145902530988836025220505030958488150229464e-11,1.8417188672618542388765565909989918061134723079634858237508034262e-11,2.0463630789952129030157617673622726053977746435925453736476813181e-12,5.7553961597222126860897013298515911110160638941678745291147654230e-12,0
