# zero shifted mathieu eigen value precision_digits=64 n=52
# u:=q^2/n^4, m:=(a+b-2n^2)/2n^2, d:=q^n/(2^(n-1)(n-1)!)^2 2/(a-b)-1
u,a,b,m,d,digits_loss(1/0)
0,0,0,0,0,0
5.42101086242752217003726400434970855712890625e-20,7.3319181942099278467392687423455226528497163332808811232354558975e-17,7.3319181942099278467392687423455226528497163332808811232354558975e-17,2.7115082079178727243858242390331074899592146202961838473503904946e-20,7.3237806601431021804078001270067580971957654927289406622410911446e-19,0
1.08420217248550443400745280086994171142578125e-19,1.4663836388419855693727633574477392615995782195400731251845237873e-16,1.4663836388419855693727633574477392615995782195400731251845237873e-16,5.4230164158357454488637698130463730088741798059913946937297477342e-20,1.4647561320286204366574044841640541608579653607174071454687241774e-18,0
2.1684043449710088680149056017398834228515625e-19,2.9327672776839711388451651508100174473323669007234563540358432320e-16,2.9327672776839711388451651508100174473323669007234563540358432320e-16,1.0846032831671490898096024966013378133625617236403314918771609586e-19,2.9295122640572408756181868033789184893366913328610243535842497671e-18,0
4.336808689942017736029811203479766845703125e-19,5.8655345553679422780888840452781905913149408488819331349327273073e-16,5.8655345553679422780888840452781905913149408488819331349327273073e-16,2.1692065663342981797665991291709284731194307873084072244573695663e-19,5.8590245281144817604498849469610776647205176133447610669992024941e-18,0
8.67361737988403547205962240695953369140625e-19,1.1731069110735884557771983065189003970169631494398188075777866182e-15,1.1731069110735884557771983065189003970169631494398188075777866182e-15,4.3384131326685963601227748022148683321633252568040636374918144163e-19,1.1718049056228963557753815254735118198142315032523348842873617155e-17,0
1.73472347597680709441192448139190673828125e-18,2.3462138221471769121920826028908499098009635030487584177629483906e-15,2.3462138221471769121920826028908499098009635030487584177629483906e-15,8.6768262653371927226038557799217822108023798189673018408393061782e-19,2.3436098112457927262923811952722088867191669411125829007338035020e-17,0
3.4694469519536141888238489627838134765625e-18,4.6924276442943538269349091651938962886791741068971367113796731786e-15,4.6924276442943538269349091651938962886791741068971367113796731786e-15,1.7353652530674385454640936261811746629730673472252724524333110868e-18,4.6872196224915855115512349678451595586826857188518880464490879971e-17,0
6.938893903907228377647697925567626953125e-18,9.3848552885887076640727941680365785017401228899778466253285231562e-15,9.3848552885887076640727941680365785017401228899778466253285231562e-15,3.4707305061348770947014771331496222269748975184829314442782999838e-18,9.3744392449831712589683602448932926333950675697713848431565708725e-17,0
1.387778780781445675529539585113525390625e-17,1.8769710577177415368957491686668301085589634668570741666324162652e-14,1.8769710577177415368957491686668301085589634668570741666324162652e-14,6.9414610122697542044961137894483362002920246555365168884334921052e-18,1.8748878489966343461400281726598530331327229952301555483145452207e-16,0
2.77555756156289135105907917022705078125e-17,3.7539421154354830901162596775717181576275146362647818032965495318e-14,3.7539421154354830901162596775717181576275146362647818032965495318e-14,1.3882922024539508469364865671493040523770394364884548089114458328e-17,3.7497756979932690696654808400445248924149321431586542650233413050e-16,0
5.5511151231257827021181583404541015625e-17,7.5078842308709662455315647160956705386200372595691642280796211934e-14,7.5078842308709662455315647160956705386200372595691642280796211934e-14,2.7765844049079017180220283713371562642825581581246909127513391987e-17,7.4995513959865396488726596589886514921049947179356834092717702214e-16,0
1.1102230246251565404236316680908203125e-16,1.5015768461741932752259310876000297661313363881995727452833610342e-13,1.5015768461741932752259310876000297661313363881995727452833610342e-13,5.5531688098158035326402776908285124487105635658268222828526665465e-17,1.4999102791973085335912111233578321034727997730006826514348096189e-15,0
2.220446049250313080847263336181640625e-16,3.0031536923483866549303347527236579183825944533052424255807671019e-13,3.0031536923483866549303347527236579183825944533052424255807671019e-13,1.1106337619631607451665439174273882834255157001868500094603428631e-16,2.9998205583946194824491390129581604042867921194842253782660583160e-15,0
4.44089209850062616169452667236328125e-16,6.0063073846967737277745598155418354011697230684030133261588860387e-13,6.0063073846967737277745598155418354011697230684030133261588860387e-13,2.2212675239263216448870413519015663465864360460070315555321324108e-16,5.9996411167892486259651450909030174150102686067150294979348885789e-15,0
8.8817841970012523233890533447265625e-16,1.2012614769393549127204680871462757219356362418329939138825176525e-12,1.2012614769393549127204680871462757219356362418329939138825176525e-12,4.4425350478526439079898967719906646521288322552995337051868256381e-16,1.1999282233578535896197758441886515792342587709909143291539596460e-14,0
1.7763568394002504646778106689453125e-15,2.4025229538787104941031606704449925381970627053724680227641965216e-12,2.4025229538787104941031606704449925381970627053724680227641965216e-12,8.8850700957052902888430498167344398601962378157265829244238037043e-16,2.3998564467157226369465389925164511726575888569223367390631757685e-14,0
3.552713678800500929355621337890625e-15,4.8050459077574236628552193255062016738494759961681997276035940693e-12,4.8050459077574236628552193255062016738494759961681997276035940693e-12,1.7770140191410590469139124724505183705064630163343933903859445522e-15,4.7997128934315071047210272024451394361534830396722430762250476397e-14,0
7.10542735760100185871124267578125e-15,9.6100918155148580243060305895288874987378723359605381826840568913e-12,9.6100918155148580243060305895288874987378723359605381826840568913e-12,3.5540280382821220504090349813346477436160770473226842391583050634e-15,9.5994257868632615327538512813843875083165260755717407526042739480e-14,0
1.42108547152020037174224853515625e-14,1.9220183631029758842994428933536653691371576672303755789581785672e-11,1.9220183631029758842994428933536653691371576672303755789581785672e-11,7.1080560765642599271429101085564547675190742131300872002891219202e-15,1.9198851573727512358754890123506491741924852309671157818857428064e-13,0
2.8421709430404007434844970703125e-14,3.8440367262059688863518328888292358876247792120226465729177388634e-11,3.8440367262059688863518328888292358876247792120226465729177388634e-11,1.4216112153128583159585180801883268815180396494166592355465010590e-14,3.8397703147458981890498530928054107835090996726927860587831515771e-13,0
5.684341886080801486968994140625e-14,7.6880734524120062437154541887889217469886317807622485242129709851e-11,7.6880734524120062437154541887889217469886317807622485242129709851e-11,2.8432224306257419540367803952621752022886951851931392471201815773e-14,7.6795406294933792472952068084994772676469655024405980830972048944e-13,0
1.136868377216160297393798828125e-13,1.5376146904824286371478062043242278375634007395327861647526247733e-10,1.5376146904824286371478062043242278375634007395327861647526247733e-10,5.6864448612515851965525377378854579791545885337750967631384052267e-14,1.5359081258993089971372418912331225020034608309123191674716272320e-12,0
2.27373675443232059478759765625e-13,3.0752293809649668279144738918283376235541915544242394037210046312e-10,3.0752293809649668279144738918283376235541915544242394037210046312e-10,1.1372889722503575547020983327767520797167868174645855782991881033e-13,3.0718162518011505849872881436212713455518717865090681873403697626e-12,0
4.5474735088646411895751953125e-13,6.1504587619303718703043938516890670070047992056039508168040665916e-10,6.1504587619303718703043938516890670070047992056039508168040665916e-10,2.2745779445008771709705598563938857274426032565103368405340482957e-13,6.1436325036124315328258116760395932683640026904246874646781396962e-12,0
9.094947017729282379150390625e-13,1.2300917523862496598510573058010612784199156530753419249035751815e-9,1.2300917523862496598510573058010612784199156530753419249035751815e-9,4.5491558890024025882065728764832147870559010838585130358860028900e-13,1.2287265007265384517056708460682951012669110717579014263396341936e-11,0
1.818989403545856475830078125e-12,2.4601835047732004628628296194574434511732453319239815749282642900e-9,2.4601835047732004628628296194574434511732453319239815749282642900e-9,9.0983117780073981614749616104195393904335996003105827475157703034e-13,2.4574530014692854839734905783105464916405592449934993020001323440e-11,0
3.63797880709171295166015625e-12,4.9203670095492054983685261983548055981324856617102225241978831206e-9,4.9203670095492054983685261983548055981324856617102225241978831206e-9,1.8196623556025168263197212272022210052265109695673899867595721600e-12,4.9149060030034052901964954431765343729142647501905471030445196373e-11,0
7.2759576141834259033203125e-12,9.8407340191096292873085756586183673812934652158547438829039009839e-9,9.8407340191096292873085756586183673812934652158547438829039009839e-9,3.6393247112091824287383785719742482918984708638516064655709692988e-12,9.8298120062661478693983979674519600638321121070436837098312576675e-11,0
1.4551915228366851806640625e-11,1.9681468038264131736903687758064417986029861247587386391240508966e-8,1.9681468038264131736903687758064417986029861247587386391240508966e-8,7.2786494224349599618726655910001545806323451359420807659913124874e-12,1.9659624013569644894877223738319625776589324836736071610952242370e-10,0
2.910383045673370361328125e-11,3.9362936076707756122957068424980953024508597233876062454500060381e-8,3.9362936076707756122957068424980953024508597233876062454500060381e-8,1.4557298844936300341330276784386447124448445722587301203587300437e-11,3.9319248031288686414546554522513345982454775322968445707675215619e-10,0
5.82076609134674072265625e-11,7.8725872154133482842541285649703308200958213926740519784528544602e-8,7.8725872154133482842541285649703308200958213926740519784528544602e-8,2.9114597690138122353010830491754182026981587990658476251674757619e-11,7.8638496079174959332024703887015625443410484242943812337310233115e-10,0
